package	version
abind	1.4-5
acepack	1.4.1
annotate	1.66.0
AnnotationDbi	1.50.1
arm	1.11-2
arrayhelpers	1.1-0
askpass	1.1
assertr	2.7
assertthat	0.2.1
backports	1.1.8
base64enc	0.1-3
bayesplot	1.7.2
bayestestR	0.7.2
BDgraph	2.62
beeswarm	0.2.3
BH	1.72.0-3
Biobase	2.48.0
BiocFileCache	1.12.0
BiocGenerics	0.34.0
BiocManager	1.30.10
BiocParallel	1.22.0
BiocVersion	3.11.1
biomaRt	2.44.1
Biostrings	2.56.0
bipartite	2.15
bit	4.0.4
bit64	4.0.2
bitops	1.0-6
blob	1.2.1
boot	1.3-25
brew	1.0-6
broom	0.7.0
BSgenome	1.56.0
BSgenome.Hsapiens.UCSC.hg19	1.4.3
callr	3.5.1
car	3.0-9
carData	3.0-4
caret	6.0-86
caTools	1.18.0
cellranger	1.1.0
cgdsr	1.3.0
checkmate	2.0.0
classInt	0.4-3
cli	2.0.2
clipr	0.7.0
clisymbols	1.2.0
cluster	2.1.0
coda	0.19-3
collections	0.3.5
colorspace	1.4-1
colourpicker	1.0
commonmark	1.7
concaveman	1.1.0
conflicted	1.0.4
conquer	1.0.1
corpcor	1.6.9
correlation	0.3.0
corrplot	0.84
corrr	0.4.2
covr	3.5.1
cowplot	1.0.0
cpp11	0.2.1
crayon	1.3.4
crosstalk	1.1.0.1
curl	4.3
cyclocomp	1.1.0
d3Network	0.5.2.1
data.table	1.13.0
DBI	1.1.0
dbplyr	1.4.4
deconstructSigs	1.8.0
DelayedArray	0.14.0
dendextend	1.13.4
desc	1.2.0
devtools	2.3.1
DiagrammeR	1.0.6.1
dials	0.0.8
DiceDesign	1.8-1
digest	0.6.25
distributional	0.2.0
doParallel	1.0.15
dotCall64	1.0-0
downloader	0.4
dplyr	1.0.1
DT	0.15
dygraphs	1.1.1.6
e1071	1.7-3
easystats	0.2.0
effectsize	0.3.2
ellipse	0.4.2
ellipsis	0.3.1
emmeans	1.4.8
enrichR	2.1
estimability	1.3
evaluate	0.14
extrafont	0.17
extrafontdb	1.0
factoextra	1.0.7
FactoMineR	2.3
fansi	0.4.1
farver	2.0.3
fastmap	1.0.1
fastmatch	1.1-0
fdrtool	1.2.15
fields	10.3
flashClust	1.01-2
flextable	0.5.11
forcats	0.5.0
