cancer	allele	datasource	term	overlap	p_value	adjusted_p_value	old_adjusted_p_value	odds_ratio	combined_score	n_overlap	overlap_genes	term_genes	pretty_term
COAD	G12D	KEA_2015	Targets of ATM (kinase)___COAD	5/161	2.051123856604497e-4	0.014631350177112078	0	9.270418095856122	78.72395018365762	5	UBR5,CTNNB1,TP53,MLLT4,PPL	UBR5,CTNNB1,TP53,MLLT4,PPL,SMAD1,EPB41L3,ATM,EPN2,MED1,RYR2,MRE11A,F5,RIMS1,STK11,TAOK3,TPR,NFE2L2,MDC1	ATM
COAD	G12D	KEGG_2019_Human	PI3K-Akt signaling pathway___COAD	6/354	0.0011859591783894418	0.012175847564798269	0	5.0594485201113075	34.08653376458094	6	MAGI1,NRAS,PIK3CA,LAMA2,LAMA1,TP53	MAGI1,NRAS,PIK3CA,LAMA2,LAMA1,TP53,NTRK2,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,STK11,RELN,TNN,TNR,COL6A6,TLR4,EPHA2,ERBB4,ITGA8	PI3K-Akt signaling pathway
COAD	G12D	Panther_2016	Hedgehog signaling pathway___COAD	3/18	2.8283417729648286e-5	7.919356964301521e-4	0	49.75124378109452	521.0564612436477	3	SMO,UBR5,GLI3	SMO,UBR5,GLI3	Hedgehog signaling pathway
COAD	G12D	PPI_Hub_Proteins	PPI of YWHAZ (hub)___COAD	12/500	8.991049768716877e-8	3.4615541609559976e-5	0	7.164179104477612	116.2348737784279	12	DYNC1H1,PIK3CA,APC,PCBP1,MYH9,CTNNB1,FAM65B,BRAF,ZC3H13,IPO7,TP53,MLLT4	DYNC1H1,PIK3CA,APC,PCBP1,MYH9,CTNNB1,FAM65B,BRAF,ZC3H13,IPO7,TP53,MLLT4	YWHAZ
COAD	G12D	Reactome_2016	"β-catenin phosphorylation
cascade___COAD"	3/17	2.3626087672544297e-5	0.005163987734141825	0	52.67778753292362	561.1848488109607	3	AMER1,APC,CTNNB1	AMER1,APC,CTNNB1	β-catenin phosphorylation cascade
COAD	G12D	Reactome_2016	Developmental biology___COAD	11/786	5.5415750526122605e-5	0.009420677589440842	0	4.177585355664426	40.94303812616978	11	TRPC7,HELZ2,SCN10A,NRAS,DCC,LAMA1,KCNQ3,MYH9,CTNNB1,BRAF,L1CAM	TRPC7,HELZ2,SCN10A,NRAS,DCC,LAMA1,KCNQ3,MYH9,CTNNB1,BRAF,L1CAM,KIF4B,CTCF,ANK3,EPHB6,ROBO3,NOTCH1,CHD9,NCAN,LAMC1,EGFR,CACNA1H,SALL1,CDH2,ABLIM3,HOXA1,NRCAM,SRGAP3,CACNA1S,SCN5A,EPHA5,MED1,NCOA2,EPHA6,EPHA8,FN1,PAX4,NRG1,UNC5D,NFASC,NCOR1,KLF5,AKAP9,NF1,CNTN1,COL6A6,EPHA2,SEMA5A,KMT2C,CACNA1C,KALRN,SPTB,CACNA1I,GRIN2A,DPYSL4,POLR2A,PTPRA,RPS6KA2,EPHA3,SCN1A	Developmental biology
COAD	G12D	Transcription_Factor_PPIs	PPI of SMAD2 (TF)___COAD	8/384	4.1668735549072004e-5	0.0059794635512918325	0	6.218905472636815	62.722384685230296	8	TGIF1,DYNC1H1,UBR5,CTNNB1,ARID1A,TP53,MLLT4,GLI3	TGIF1,DYNC1H1,UBR5,CTNNB1,ARID1A,TP53,MLLT4,GLI3,SMAD4,GNAS,ACVR1B,TGFBR2,COL5A1,TGFBR1	SMAD2
COAD	G12D	WikiPathways_2019_Human	Focal adhesion___COAD	7/198	4.410731084935471e-6	0.0010409325360447711	0	10.553294135383688	130.13763112232584	7	PIK3CA,LAMA2,LAMA1,CTNNB1,BRAF,ARHGAP5,VAV1	PIK3CA,LAMA2,LAMA1,CTNNB1,BRAF,ARHGAP5,VAV1,BLK,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,RELN,TNN,COL5A2,FLNA,TNR,ITGA8	Focal adhesion
COAD	G12V	KEGG_2019_Human	Hippo signaling pathway___COAD	4/160	1.702399314499525e-4	0.004033376837429644	0	14.285714285714286	123.97573934968825	4	TCF7L2,SMAD4,APC,DCHS2	TCF7L2,SMAD4,APC,DCHS2	Hippo signaling pathway
COAD	G12V	KEGG_2019_Human	mTOR signaling pathway___COAD	3/152	0.002356778177809898	0.025030609612601677	0	11.278195488721803	68.23826810012487	3	NRAS,PIK3CA,BRAF	NRAS,PIK3CA,BRAF,RICTOR	mTOR signaling pathway
COAD	G12V	KEGG_2019_Human	Wnt signaling pathway___COAD	3/158	0.002630143906609748	0.024548009795024313	0	10.849909584086799	64.45623924355111	3	TCF7L2,SMAD4,APC	TCF7L2,SMAD4,APC	Wnt signaling pathway
