cancer	gsea_group	name	gs_br_follow_link_to_m_sig_db	gs_details	size	es	nes	nom_p_val	fdr_q_val	fwer_p_val	rank_at_max	leading_edge	gene_set_family	gene_set	gene_set_pretty
COAD	other	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	86	0.606	2.692	0.000	0.000	0.000	2366	tags=44%, list=15%, signal=52%	REACTOME	Respiratory electron transport	Respiratory electron transport
COAD	other	REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	47	0.667	2.631	0.000	0.000	0.000	2050	tags=49%, list=13%, signal=56%	REACTOME	Complex I biogenesis	Complex I biogenesis
COAD	other	REACTOME_FANCONI_ANEMIA_PATHWAY	REACTOME_FANCONI_ANEMIA_PATHWAY	Details ...	37	0.579	2.163	0.000	0.007	0.041	2706	tags=43%, list=18%, signal=52%	REACTOME	Fanconi anemia pathway	Fanconi anemia pathway
COAD	other	PID_BARD1_PATHWAY	PID_BARD1_PATHWAY	Details ...	28	0.618	2.149	0.000	0.006	0.049	2319	tags=46%, list=15%, signal=55%	PID	BARD1 pathway	BARD1 pathway
COAD	other	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	Details ...	25	0.548	1.852	0.002	0.120	0.873	4391	tags=60%, list=29%, signal=84%	REACTOME	"Resolution of D-loop structures through
SDSA"	Resolution of D-loop structures through SDSA
COAD	G12V	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	86	-0.629	-2.889	0.000	0.000	0.000	2954	tags=60%, list=19%, signal=75%	REACTOME	Respiratory electron transport	Respiratory electron transport
COAD	G12V	REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	47	-0.675	-2.747	0.000	0.000	0.000	2900	tags=64%, list=19%, signal=79%	REACTOME	Complex I biogenesis	Complex I biogenesis
COAD	G12V	REACTOME_TP53_REGULATES_METABOLIC_GENES	REACTOME_TP53_REGULATES_METABOLIC_GENES	Details ...	77	-0.505	-2.264	0.000	0.001	0.014	2896	tags=45%, list=19%, signal=56%	REACTOME	TP53 regulates metabolic genes	TP53 regulates metabolic genes
COAD	G12V	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	188	-0.399	-2.080	0.000	0.013	0.176	3263	tags=39%, list=21%, signal=49%	HALLMARK	Oxidative phosphorylation	Oxidative phosphorylation
COAD	G12V	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	Details ...	16	-0.600	-1.838	0.005	0.133	0.948	2639	tags=50%, list=17%, signal=60%	REACTOME	TGF-β receptor signaling in EMT	TGF-β receptor signaling in EMT
COAD	other	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	105	0.488	2.237	0.000	0.005	0.010	3188	tags=45%, list=21%, signal=56%	REACTOME	Nonsense Mediated Decay	Nonsense Mediated Decay
COAD	other	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	156	0.397	1.944	0.000	0.092	0.570	4982	tags=50%, list=33%, signal=73%	REACTOME	"Regulation of expression of SLITS and
ROBOS"	Regulation of expression of SLITS and ROBOS
COAD	other	BIOCARTA_TFF_PATHWAY	BIOCARTA_TFF_PATHWAY	Details ...	22	0.587	1.916	0.001	0.089	0.696	4032	tags=55%, list=26%, signal=74%	BIOCARTA	Trefoil factor (TFF) pathway	Trefoil factor (TFF) pathway
