cancer	hugo_symbol	gene_cls	g12v_ach_000022	g12d_ach_000042	g12d_ach_000060	g12r_ach_000118	g12v_ach_000138	g12d_ach_000164	g12d_ach_000222	g12d_ach_000235	g12v_ach_000243	g12d_ach_000265	g12v_ach_000266	g12r_ach_000281	g12d_ach_000307	g12r_ach_000320	g12v_ach_000332	g12d_ach_000468	g12r_ach_000502	g12d_ach_000517	g12d_ach_000652	g12v_ach_001353	g12v_ach_001379	g12d_ach_001382	g12v_ach_001999
PAAD	ABCC3	1	-0.301	-0.219	-0.424	-0.138	-0.140	-0.323	-0.124	-0.261	-0.215	-0.246	-0.100	-0.092	-0.203	-0.124	-0.392	-0.427	-0.068	-0.371	-0.272	-0.333	-0.331	-0.431	-0.265
PAAD	C1QTNF2	1	0.129	-0.022	-0.120	0.163	0.026	-0.022	-0.142	0.033	0.062	0.016	0.037	0.091	0.045	0.181	-0.060	0.020	-0.017	-0.066	-0.062	-0.032	-0.025	-0.043	0.026
PAAD	CCDC74A	1	0.129	0.010	-0.105	0.108	0.049	0.090	-0.064	-0.004	0.004	0.148	0.275	0.363	0.057	0.260	0.229	-0.007	0.142	0.076	-0.028	0.089	0.140	0.023	0.134
PAAD	CCNE1	1	-0.022	-0.086	-0.104	0.019	-0.062	-0.137	-0.019	-0.035	0.018	-0.143	0.079	0.365	0.086	0.266	0.074	-0.288	0.083	-0.127	-0.248	-0.066	0.130	-0.119	-0.091
PAAD	CELA2A	1	0.079	-0.021	-0.049	0.210	0.006	-0.178	0.121	-0.096	-0.001	-0.055	-0.015	0.287	-0.066	0.136	-0.202	-0.049	0.084	-0.156	0.109	-0.080	-0.222	-0.316	0.000
PAAD	CFAP65	1	-0.078	0.013	0.055	0.139	0.083	0.000	0.037	-0.042	-0.028	0.138	0.006	0.191	0.083	0.190	0.054	0.175	0.196	-0.100	-0.079	-0.036	-0.062	-0.032	-0.097
PAAD	CITED4	1	0.005	0.049	-0.145	0.008	-0.021	-0.150	-0.037	-0.125	0.062	-0.116	-0.010	0.165	-0.112	0.143	-0.081	0.036	-0.020	-0.063	-0.069	0.012	-0.080	0.008	0.012
PAAD	CRTC2	1	-0.175	-0.210	-0.067	0.079	-0.104	-0.241	-0.426	-0.148	-0.098	-0.146	-0.161	0.010	0.009	0.101	-0.293	-0.401	-0.039	-0.350	-0.262	-0.143	-0.160	-0.311	-0.432
PAAD	DDX49	1	-1.722	-1.641	-1.504	-1.347	-1.581	-1.845	-1.563	-1.675	-1.461	-1.549	-1.393	-1.594	-1.819	-1.146	-1.536	-1.815	-1.529	-1.637	-1.662	-1.680	-1.519	-1.732	-1.537
PAAD	DMBX1	1	-0.021	0.154	-0.205	0.181	0.427	-0.068	-0.287	0.008	0.142	0.093	0.206	0.647	0.045	0.382	0.118	-0.040	0.168	0.045	-0.014	-0.048	0.012	-0.087	0.046
PAAD	GABRR1	1	0.004	-0.038	-0.017	0.007	0.013	-0.064	0.079	-0.079	0.072	-0.034	0.060	NA	0.044	0.277	-0.018	0.035	0.105	-0.040	-0.022	0.099	0.017	-0.098	0.050
PAAD	HHIP	1	0.090	0.088	0.010	0.263	0.203	0.147	0.060	0.180	0.226	0.217	0.151	0.345	0.234	0.454	0.290	0.342	0.300	0.029	0.144	0.170	0.054	0.209	0.287
PAAD	HLA-DQB2	1	-0.162	-0.071	-0.335	-0.026	-0.228	-0.036	-0.242	-0.074	0.012	-0.075	-0.143	-0.018	-0.213	0.144	-0.067	-0.074	0.079	-0.050	-0.140	-0.017	-0.240	-0.146	-0.161
