cancer	hugo_symbol	p_val	t_am	t_bm_ge	num_samples_per_cancer	num_mut_per_cancer	num_samples_per_cancer_allele	num_mut_per_cancer_allele
COAD	ABCA13	0.0097	495	97	1275	83	NA	0
COAD	ABCC8	0.0031	484	31	1275	28	NA	0
COAD	AHNAK2	8e-4	506	8	1275	100	NA	0
COAD	AKAP9	0.0053	484	53	1275	30	NA	0
COAD	ALMS1	6e-4	492	6	1275	42	NA	0
COAD	APOB	0.0024	496	24	1275	70	NA	0
COAD	ARFGEF1	0.0087	482	87	1275	26	NA	0
COAD	ARID1A	0.0018	493	18	1275	51	NA	0
COAD	ASPM	0.0037	488	37	1275	44	NA	0
COAD	BCORL1	0.004	487	40	1275	39	NA	0
COAD	BRAF	5e-5	566	0	1275	104	NA	0
COAD	CELSR1	0.0018	490	18	1275	42	NA	0
COAD	COL7A1	0.0013	489	13	1275	39	NA	0
COAD	CSPG4	0.0044	484	44	1275	28	NA	0
COAD	CUL9	3e-4	493	3	1275	47	NA	0
COAD	CUX1	0.0066	486	66	1275	38	NA	0
COAD	DAGLA	1e-4	492	1	1275	30	NA	0
COAD	DEPDC5	0.0091	482	91	1275	26	NA	0
COAD	DIDO1	5e-5	506	0	1275	60	NA	0
COAD	DLG5	8e-4	486	8	1275	28	NA	0
COAD	DOCK3	0.004	488	40	1275	42	NA	0
COAD	DSCAM	5e-5	502	0	1275	74	NA	0
COAD	DST	0.0032	489	32	1275	43	NA	0
COAD	DYNC1H1	9e-4	492	9	1275	46	NA	0
COAD	EP400	0.0019	494	19	1275	58	NA	0
COAD	EVPL	0.0085	483	85	1275	29	NA	0
COAD	FASN	0.007	484	70	1275	32	NA	0
COAD	FLG	0.0021	527	21	1275	197	NA	0
COAD	FLNC	0.0086	487	86	1275	45	NA	0
COAD	GLI3	0.0019	497	19	1275	71	NA	0
COAD	HDAC9	0.0051	483	51	1275	27	NA	0
COAD	HECTD4	0.0082	485	82	1275	37	NA	0
COAD	HECW1	8e-4	499	8	1275	73	NA	0
COAD	HELZ2	5e-5	494	0	1275	42	NA	0
COAD	HIVEP2	0.0047	484	47	1275	30	NA	0
COAD	HRNR	0.0041	505	41	1275	113	NA	0
COAD	HSPG2	6e-4	493	6	1275	49	NA	0
COAD	ITPR3	5e-5	492	0	1275	32	NA	0
COAD	KCND2	0.0037	484	37	1275	28	NA	0
COAD	KIAA0430	6e-4	486	6	1275	28	NA	0
COAD	KIAA0556	0.0023	484	23	1275	26	NA	0
COAD	KIAA1462	0.0069	485	69	1275	35	NA	0
COAD	KIF21A	0.0048	483	48	1275	27	NA	0
COAD	KMT2C	0.001	502	10	1275	88	NA	0
COAD	LCT	0.0045	484	45	1275	30	NA	0
COAD	LRP1B	0.003	508	30	1275	124	NA	0
COAD	MACF1	0.0032	493	32	1275	59	NA	0
COAD	MAGI1	1e-4	489	1	1275	29	NA	0
COAD	MKI67	0.0065	490	65	1275	54	NA	0
COAD	MLLT4	3e-4	487	3	1275	27	NA	0
COAD	MUC3A	0.002	490	20	1275	42	NA	0
COAD	MUC5B	0.0017	499	17	1275	79	NA	0
COAD	MYH9	1e-4	491	1	1275	27	NA	0
COAD	MYT1	0.0019	484	19	1275	26	NA	0
COAD	NBEA	0.0073	493	73	1275	69	NA	0
COAD	NF1	4e-4	490	4	1275	36	NA	0
COAD	NISCH	0.0023	484	23	1275	26	NA	0
COAD	NOTCH1	0.0043	488	43	1275	42	NA	0
COAD	NRAS	5e-5	524	0	1275	60	NA	0
COAD	PCDHA8	0.0062	485	62	1275	33	NA	0
COAD	PCDHB7	0.0088	486	88	1275	40	NA	0
COAD	PCDHGA7	0.0083	483	83	1275	29	NA	0
