tissue	gene	HPA_expr
bone marrow	TSPAN6	0.7
colon	TSPAN6	48.5
lung	TSPAN6	19.3
pancreas	TSPAN6	6
rectum	TSPAN6	58.8
skin	TSPAN6	7.8
bone marrow	TNMD	0
colon	TNMD	0.7
lung	TNMD	0.1
pancreas	TNMD	0
rectum	TNMD	0.5
skin	TNMD	0.3
bone marrow	DPM1	36.3
colon	DPM1	37.7
lung	DPM1	43.9
pancreas	DPM1	10.2
rectum	DPM1	46.6
skin	DPM1	40.5
bone marrow	SCYL3	2.6
colon	SCYL3	7.7
lung	SCYL3	9.3
pancreas	SCYL3	1.3
rectum	SCYL3	10.6
skin	SCYL3	9.2
bone marrow	C1orf112	5.9
colon	C1orf112	2.6
lung	C1orf112	2.5
pancreas	C1orf112	0.3
rectum	C1orf112	4.6
skin	C1orf112	2.9
bone marrow	FGR	137
colon	FGR	4.2
lung	FGR	56.3
pancreas	FGR	1.2
rectum	FGR	4.4
skin	FGR	3.6
bone marrow	CFH	0.7
colon	CFH	48.6
lung	CFH	83.5
pancreas	CFH	2.9
rectum	CFH	86.7
skin	CFH	46.1
bone marrow	FUCA2	16.4
colon	FUCA2	41.4
lung	FUCA2	43.3
pancreas	FUCA2	7.4
rectum	FUCA2	59
skin	FUCA2	11.6
bone marrow	GCLC	20.9
colon	GCLC	21.6
lung	GCLC	12.8
pancreas	GCLC	2.7
rectum	GCLC	21.6
skin	GCLC	15.6
bone marrow	NFYA	27.1
colon	NFYA	11.9
lung	NFYA	17.6
pancreas	NFYA	2.4
rectum	NFYA	16.1
skin	NFYA	12.5
bone marrow	STPG1	0.6
colon	STPG1	6.4
lung	STPG1	7.3
pancreas	STPG1	0.7
rectum	STPG1	5.8
skin	STPG1	3.5
bone marrow	NIPAL3	5.9
colon	NIPAL3	14.8
lung	NIPAL3	22.8
pancreas	NIPAL3	3.9
rectum	NIPAL3	16.4
skin	NIPAL3	15.3
bone marrow	LAS1L	18.8
colon	LAS1L	13.9
lung	LAS1L	21.4
pancreas	LAS1L	3.1
rectum	LAS1L	16.9
skin	LAS1L	26.4
bone marrow	ENPP4	25.3
colon	ENPP4	12
lung	ENPP4	30.8
pancreas	ENPP4	2.5
rectum	ENPP4	14
skin	ENPP4	1.6
bone marrow	SEMA3F	1.6
colon	SEMA3F	7.6
lung	SEMA3F	22.7
pancreas	SEMA3F	1.4
rectum	SEMA3F	7
skin	SEMA3F	89.1
bone marrow	CFTR	0
colon	CFTR	45.9
lung	CFTR	12.8
pancreas	CFTR	45.5
rectum	CFTR	49
skin	CFTR	0.2
bone marrow	ANKIB1	4.5
colon	ANKIB1	13
lung	ANKIB1	17.1
pancreas	ANKIB1	2.7
rectum	ANKIB1	14.4
skin	ANKIB1	18
bone marrow	CYP51A1	19.3
colon	CYP51A1	53.3
lung	CYP51A1	79.4
pancreas	CYP51A1	10.5
rectum	CYP51A1	45.3
skin	CYP51A1	19.3
bone marrow	KRIT1	5.6
colon	KRIT1	13.7
lung	KRIT1	20
pancreas	KRIT1	3.6
rectum	KRIT1	15.5
skin	KRIT1	17.1
bone marrow	RAD52	2.1
colon	RAD52	7.1
lung	RAD52	5.6
pancreas	RAD52	1.1
rectum	RAD52	7.5
