cancer	gene_cls	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes
COAD	1	GO_Biological_Process_2018	NADH dehydrogenase complex assembly (GO:0010257)	8/65	3.2342127291926935e-12	8.252093778535158e-9	0	0	50.23547880690738	1329.0918971662581	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;FOXRED1	8
COAD	1	GO_Biological_Process_2018	respiratory electron transport chain (GO:0022904)	5/95	3.5140880437478906e-6	0.001992487920805054	0	0	21.482277121374864	269.79012918103643	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1	5
COAD	1	KEGG_2019_Human	Oxidative phosphorylation	5/133	1.8181607965200235e-5	0.002799967626640836	0	0	15.344483658124904	167.48657397875456	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1	5
COAD	1	KEGG_2019_Human	Regulation of actin cytoskeleton	3/214	0.015508774631479625	0.164713882292956	0	0	5.7219149341979785	23.839496337844665	ITGA7;KRAS;RAF1	3
COAD	1	KEGG_2019_Human	Retrograde endocannabinoid signaling	5/148	3.041785232903659e-5	0.0023421746293358177	0	0	13.78929950358522	143.4153457563273	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1	5
COAD	1	KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	3/139	0.0047919944754590115	0.13417584531285232	0	0	8.809279107326384	47.048673361067145	LIF;KRAS;RAF1	3
COAD	1	KEGG_2019_Human	Thermogenesis	9/231	4.303436506043729e-9	1.3254584438614685e-6	0	0	15.90246488205672	306.34272906400923	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;KRAS;ARID1A	9
COAD	1	Reactome_2016	Complex I biogenesis_Homo sapiens_R-HSA-6799198	7/49	2.6913853918774042e-11	4.117819649572429e-8	0	0	58.309037900874635	1419.1475187363235	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1	7
COAD	1	Reactome_2016	Metabolism_Homo sapiens_R-HSA-1430728	14/1908	1.3421680735320238e-4	0.020535171525039964	0	0	2.994908655286014	26.70276759564755	MOCS3;NDUFA6;NDUFA5;NDUFB3;NDUFC1;COQ7;HSD11B2;COQ2;SCO1;NDUFS5;NDUFAF4;NDUFAF3;RPL28;GPC6	14
COAD	1	Reactome_2016	Organelle biogenesis and maintenance_Homo sapiens_R-HSA-1852241	6/326	1.388057336715359e-4	0.019306615683404537	0	0	7.5122073369225	66.72669489324167	MTFMT;MRPS24;MRPL47;MRPL46;MTRF1L;MRPL32	6
COAD	1	Reactome_2016	Respiratory electron transport_Homo sapiens_R-HSA-611105	8/88	3.949395269851066e-11	3.021287381436066e-8	0	0	37.10575139146568	888.8635826338456	NDUFA6;SCO1;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1	8
COAD	1	Reactome_2016	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200	8/109	2.2464562489679202e-10	1.1456926869736392e-7	0	0	29.95693690320165	665.5381975150698	NDUFA6;SCO1;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1	8
COAD	1	WikiPathways_2019_Human	Oxidative phosphorylation WP623	4/60	1.4014832134167174e-5	0.0022050002557756354	0	0	27.2108843537415	304.09236329259215	NDUFA6;NDUFA5;NDUFS5;NDUFC1	4
COAD	2	GO_Biological_Process_2018	regulation of RNA export from nucleus (GO:0046831)	3/15	1.6610279367976186e-5	0.08476225561478248	0	0	58.82352941176471	647.381695012732	DHX9;NCBP2;TPR	3
COAD	2	PPI_Hub_Proteins	RELA	6/283	3.9940305451445615e-4	0.1537701759880656	0	0	6.235709831635836	48.797793530995804	UXT;DHX9;RPL23;CHEK1;KRIT1;CCT8	6
COAD	3	BioCarta_2016	Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling_Homo sapiens_h_At1rPathway	3/34	2.3649379959402547e-5	0.0028024515251892017	0	0	53.475935828877006	569.6349551193277	JUN;PRKCA;CRKL	3
COAD	3	BioCarta_2016	Links between Pyk2 and Map Kinases_Homo sapiens_h_pyk2Pathway	3/26	1.0368252194921716e-5	0.0024572757701964466	0	0	69.93006993006993	802.5707758247771	JUN;PRKCA;CRKL	3
COAD	3	KEGG_2019_Human	ErbB signaling pathway	3/85	3.686196306318272e-4	0.037844948744867594	0	0	21.390374331550802	169.10685041435204	JUN;PRKCA;CRKL	3
COAD	3	KEGG_2019_Human	Focal adhesion	4/199	3.1040883236321235e-4	0.0956059203678694	0	0	12.182122734886555	98.40256208657408	JUN;PRKCA;TLN1;CRKL	4
COAD	3	KEGG_2019_Human	Rap1 signaling pathway	4/206	3.5393053805930373e-4	0.054505302861132775	0	0	11.768167107972932	93.51467942636839	PARD6A;PRKCA;TLN1;CRKL	4
COAD	3	KEGG_2019_Human	Wnt signaling pathway	3/158	0.0022179535617162273	0.1707824242521495	0	0	11.507479861910243	70.32416947389135	FOSL1;JUN;PRKCA	3
COAD	3	Panther_2016	Angiogenesis_Homo sapiens_P00005	3/142	0.0016356330676648072	0.1831909035784584	0	0	12.804097311139564	82.14757173144639	JUN;PRKCA;CRKL	3
