cancer	gene_cls	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes	datasource_hr
COAD	2	KEGG_2019_Human	Influenza A	4/171	8.998662022137746e-5	0.027715879028184256	0	0	16.70843776106934	155.6532926130751	PYCARD;FDPS;RNASEL;NLRP3	4	KEGG
COAD	5	LINCS_L1000_Kinase_Perturbations_down	EGFR knockdown 96h A375	4/300	5.892106403209957e-6	0.021470835733297083	0	0	29.629629629629633	356.7969481658638	PEX3;TOLLIP;MTO1;TMCO3	4	LINCS_down
COAD	5	LINCS_L1000_Kinase_Perturbations_down	PDK1 knockdown 96h HCC515	3/300	2.6248957151620326e-4	0.19130239972100893	0	0	22.222222222222225	183.22887120620172	PEX3;TOLLIP;MTO1	3	LINCS_down
COAD	6	PPI_Hub_Proteins	HSP90AB1	3/138	3.722676623873943e-5	0.01433230500191468	0	0	43.47826086956522	443.4122840378548	EIF3M;TRAF2;RAF1	3	Hub
LUAD	1	BioCarta_2016	Toll-Like Receptor Pathway Homo sapiens h tollPathway	3/35	7.067159044822667e-4	0.1674916693622972	0	0	17.142857142857142	124.36940237553334	TLR6;ELK1;TLR4	3	BioCarta
LUAD	2	KEA_2015	RET	3/15	2.3741879753489317e-4	0.10161524534493428	0	0	24.096385542168676	201.10084091731807	MAPK9;MAPK8;PTK2	3	KEA
LUAD	2	Panther_2016	B cell activation Homo sapiens P00010	4/57	0.0012837785621435114	0.14378319896007327	0	0	8.454872120059184	56.29209510020703	MAPK9;MAPK8;PTPRC;BTK	4	Panther
LUAD	2	Panther_2016	Integrin signalling pathway Homo sapiens P00034	6/156	0.0019480973127383693	0.07272896634223246	0	0	4.633920296570899	28.919843001876792	RAP2C;MAPK9;MAPK8;ITGB5;ELMO2;PTK2	6	Panther
LUAD	2	Panther_2016	Interferon-gamma signaling pathway Homo sapiens P00035	3/28	0.0015793082238047215	0.0884412605330644	0	0	12.908777969018931	83.27153649985091	MAPK9;MAPK8;SOCS7	3	Panther
LUAD	2	Panther_2016	T cell activation Homo sapiens P00053	4/73	0.0031927817322393195	0.08939788850270095	0	0	6.601749463607856	37.939347917443904	MAPK9;MAPK8;PTPRC;HLA-DOA	4	Panther
LUAD	2	Panther_2016	TGF-beta signaling pathway Homo sapiens P00052	4/88	0.006216079006785056	0.13924016975198525	0	0	5.47645125958379	27.823745650428855	MAPK9;MAPK8;INHBA;BMP7	4	Panther
