cancer	hugo_symbol	gene_cls	entrez_id	label
COAD	CDC37	3	11140	essential
COAD	EIF3M	6	10480	essential
COAD	FDPS	2	2224	essential
COAD	HYPK	6	25764	essential
COAD	MRPL47	5	57129	essential
COAD	NDUFS5	6	4725	essential
COAD	REV3L	6	5980	essential
COAD	ROMO1	2	140823	essential
COAD	RPL36AL	4	6166	essential
COAD	RPRD1B	5	58490	essential
COAD	WDR26	6	80232	essential
LUAD	ARMC6	4	93436	essential
LUAD	ATP6V1F	3	9296	essential
LUAD	BNIP1	4	662	essential
LUAD	COPB1	1	1315	essential
LUAD	DHFR	2	1719	essential
LUAD	GPN2	2	54707	essential
LUAD	HNRNPA0	4	10949	essential
LUAD	HNRNPU	4	3192	essential
LUAD	IK	2	3550	essential
LUAD	INTS13	3	55726	essential
LUAD	IWS1	2	55677	essential
LUAD	LURAP1	4	541468	essential
LUAD	NAGLU	4	4669	essential
LUAD	NMT1	4	4836	essential
LUAD	NOL8	2	55035	essential
LUAD	NPM3	3	10360	essential
LUAD	PCF11	1	51585	essential
LUAD	PDCD6	4	10016	essential
LUAD	PNISR	1	25957	essential
LUAD	PTK2	2	5747	essential
LUAD	RAB4A	2	5867	essential
LUAD	RBM25	1	58517	essential
LUAD	RMI1	3	80010	essential
LUAD	RPL27A	3	6157	essential
LUAD	RPL4	2	6124	essential
LUAD	RPS13	2	6207	essential
LUAD	RPS3	2	6188	essential
LUAD	SF3A3	2	10946	essential
LUAD	SF3B1	3	23451	essential
LUAD	SMN2	4	6607	essential
LUAD	SNRNP35	4	11066	essential
LUAD	SRRM2	2	23524	essential
LUAD	SUGT1	3	10910	essential
LUAD	TAF1B	4	9014	essential
LUAD	TSG101	3	7251	essential
LUAD	U2SURP	2	23350	essential
LUAD	UBA3	4	9039	essential
LUAD	UBC	4	7316	essential
LUAD	UQCRQ	4	27089	essential
LUAD	WDR74	3	54663	essential
LUAD	ZNF720	1	124411	essential
LUAD	ZNF763	1	284390	essential
PAAD	CCT8	3	10694	essential
PAAD	CELA2A	5	63036	nonessential
PAAD	COX15	2	1355	essential
PAAD	CWF19L2	4	143884	essential
PAAD	EGLN2	5	112398	essential
PAAD	EXOSC2	6	23404	essential
PAAD	HSPE1	3	3336	essential
PAAD	METTL3	6	56339	essential
PAAD	MRPL24	4	79590	essential
PAAD	MRPS25	4	64432	essential
PAAD	RPL4	3	6124	essential
PAAD	RPL7L1	4	285855	essential
PAAD	RPS3	2	6188	essential
PAAD	SNAPC2	5	6618	essential
PAAD	SNAPC5	6	10302	essential
PAAD	TMED2	6	10959	essential
PAAD	TUBA1C	2	84790	essential
PAAD	U2AF1	4	7307	essential
PAAD	UPF2	6	26019	essential
