datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
PPI_Hub_Proteins	UBC	4/540	9.695918822714365e-5	0.0373292874674503	14.814814814814815	136.9069690062685	MAP3K1;APC;DAPK1;RGS20	4
PPI_Hub_Proteins	FLNA	2/135	0.001964236966804282	0.1512462464439297	29.62962962962963	184.67115321873936	MAP3K1;APC	2
PPI_Hub_Proteins	YWHAZ	3/500	0.0016347780174221294	0.15734738417687996	12	76.99497903613397	MAP3K1;APC;SF3B1	3
WikiPathways_2019_Human	Wnt Signaling WP428	2/115	0.0014311167497953535	0.16887177647585172	34.78260869565217	227.80174593306148	PORCN;APC	2
PPI_Hub_Proteins	YWHAE	2/215	0.004890312077824842	0.17116092272386949	18.6046511627907	98.98603084531457	MAP3K1;SF3B1	2
PPI_Hub_Proteins	MAPK1	3/406	8.960782572332175e-4	0.17249506451739438	14.778325123152708	103.70664248484596	MAP3K1;DAPK1;SF3B1	3
PPI_Hub_Proteins	CALM3	2/172	0.0031622232087142816	0.17392227647928546	23.25581395348837	133.8716267836058	MAP3K1;DAPK1	2
PPI_Hub_Proteins	RUVBL2	2/161	0.0027777204430869326	0.17823706176474485	24.844720496894407	146.23912228948763	MAP3K1;RGS20	2
PPI_Hub_Proteins	VIM	2/199	0.00420588210020594	0.179918289842143	20.100502512562812	109.97530117445804	MAP3K1;PKN1	2
PPI_Hub_Proteins	HSP90AA1	2/231	0.005623018936182728	0.18040519086919585	17.316017316017316	89.71232176706283	MAP3K1;DAPK1	2
PPI_Hub_Proteins	UBE2I	2/212	0.004758284264052315	0.18319394416601414	18.867924528301884	100.90317215933152	MAP3K1;CSDE1	2
PPI_Hub_Proteins	CASP3	2/193	0.003961801971922815	0.19066171989878547	20.72538860103627	114.63329147775653	MAP3K1;PKN1	2
Reactome_2016	Signaling by WNT in cancer_Homo sapiens_R-HSA-4791275	2/34	1.251535470990176e-4	0.19148492706149692	117.6470588235294	1057.1728467890982	PORCN;APC	2
PPI_Hub_Proteins	RAC1	2/249	0.006504204388268427	0.1926245145756419	16.064257028112447	80.88845754570058	MAP3K1;APC	2
