datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
PPI_Hub_Proteins	FLNA	2/135	1.3507506481940556e-4	0.02600194997773557	98.76543209876544	879.968385022925	APC;TTN	2
Transcription_Factor_PPIs	MYC	3/957	1.0922728262837841e-4	0.03134823011434461	20.898641588296762	190.63907387542943	OBSCN;APC;TTN	3
KEA_2015	PRKG1	2/106	8.318623739974671e-5	0.03560370960709159	125.78616352201259	1181.689137067705	APC;TTN	2
GO_Biological_Process_2018	sarcomere organization (GO:0045214)	2/32	7.432436142121351e-6	0.03792772163324525	416.6666666666667	4920.690364091779	OBSCN;TTN	2
PPI_Hub_Proteins	PRKG1	2/121	1.0846908233814793e-4	0.041760596700186954	110.19283746556475	1005.9554138843023	APC;TTN	2
GO_Biological_Process_2018	myofibril assembly (GO:0030239)	2/48	1.6893923989640245e-5	0.04310484705956708	277.77777777777777	3052.376813311356	OBSCN;TTN	2
GO_Biological_Process_2018	actomyosin structure organization (GO:0031032)	2/72	3.825055232969356e-5	0.06506418951280875	185.1851851851852	1883.58380700074	OBSCN;TTN	2
PPI_Hub_Proteins	CALM1	2/359	9.524686062162178e-4	0.12223347113108128	37.140204271123494	258.36410068188087	OBSCN;TTN	2
PPI_Hub_Proteins	PRKACA	2/440	0.0014275885134425337	0.13740539441884386	30.303030303030305	198.5384428012784	APC;TTN	2
KEA_2015	PRKACA	2/393	0.001140391187165039	0.1626958093688789	33.927056827820195	229.9027626395616	APC;TTN	2
