datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
KEGG_2019_Human	Colorectal cancer	2/86	0.0018503664133103928	0.1139825710599202	31.007751937984494	195.1122976202971	BRAF;MTOR	2
KEGG_2019_Human	Prostate cancer	2/97	0.0023459367198198867	0.12042475161742085	27.491408934707902	166.46241931995766	BRAF;MTOR	2
WikiPathways_2019_Human	Rett syndrome causing genes WP4312	2/48	5.805264461589512e-4	0.1370042412935125	55.55555555555555	413.9764000173342	BRAF;SCN1A	2
WikiPathways_2019_Human	BDNF-TrkB Signaling WP3676	2/34	2.9047409965205666e-4	0.13710377503577076	78.4313725490196	638.7447955663802	BRAF;MTOR	2
KEGG_2019_Human	ErbB signaling pathway	2/85	0.0018081168721341115	0.1392249991543266	31.372549019607842	198.13237262538786	BRAF;MTOR	2
KEGG_2019_Human	Glioma	2/75	0.0014115643037611162	0.14492060185280795	35.55555555555556	233.3531290406762	BRAF;MTOR	2
WikiPathways_2019_Human	Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	2/66	0.0010953593235033595	0.17233653356452858	40.4040404040404	275.4211240494848	BRAF;MTOR	2
KEGG_2019_Human	mTOR signaling pathway	2/152	0.005646298784218155	0.17390600255391916	17.543859649122805	90.82026370040884	BRAF;MTOR	2
KEGG_2019_Human	Gastric cancer	2/149	0.0054319344383540365	0.1858928674458937	17.89709172259508	93.34156524959342	BRAF;MTOR	2
KEGG_2019_Human	Hepatocellular carcinoma	2/168	0.006854341742051501	0.19192156877744201	15.873015873015872	79.09322216726319	BRAF;MTOR	2
WikiPathways_2019_Human	ErbB Signaling Pathway WP673	2/91	0.002068638783252955	0.19527950113907894	29.304029304029307	181.12423386505935	BRAF;MTOR	2
