datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	22/278	1.0450495860322113e-8	1.1704555363560767e-6	4.31262619332327	79.25147726973161	TCF7L2;SMAD4;PCDHGA5;PCDH11Y;PCDHGA2;PCDH15;NFATC2;ITPR3;PCDHB12;PCDHA13;ARID1A;CDH8;MYH3;APC;EP400;CTNNB1;PCDHA3;PCDHA9;TP53;PCDHA7;MYH6;PCDHB7	22
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	13/150	4.1178820785079246e-6	2.3060139639644378e-4	4.72297910990009	58.565751356977664	TCF7L2;PCDHGA5;PCDH11Y;PCDHGA2;PCDH15;PCDHA13;PCDHB12;CDH8;CTNNB1;PCDHA3;PCDHA9;PCDHA7;PCDHB7	13
WikiPathways_2019_Human	Pancreatic adenocarcinoma pathway WP4263	10/89	5.376725135073142e-6	0.002537814263754523	6.123136270397697	74.2946519308285	SMAD2;TIAM1;SMAD4;PIK3CA;EGF;BRCA2;TP53;RELA;MTOR;PAK4	10
GO_Biological_Process_2018	positive regulation of epithelial to mesenchymal transition (GO:0010718)	8/41	6.706803658992509e-7	0.0034224819071838773	10.63334884030039	151.15276845417557	SMAD2;TCF7L2;TIAM1;SMAD4;CTNNB1;MTOR;BCL9L;EZH2	8
KEGG_2019_Human	Human papillomavirus infection	19/330	1.2354569616350807e-5	0.0038052074418360488	3.1376434646189413	35.460029151054364	TCF7L2;CDKN1B;LAMA2;LAMA1;EGF;NOTCH4;LAMA3;MX1;HLA-B;UBR4;RELA;MTOR;PIK3CA;APC;PPP2R2C;GNAS;CTNNB1;COL6A3;TP53	19
KEGG_2019_Human	Pancreatic cancer	8/75	6.885132874296401e-5	0.004241241850566583	5.812897366030881	55.708256691019024	SMAD2;SMAD4;PIK3CA;EGF;BRCA2;TP53;RELA;MTOR	8
KEGG_2019_Human	Colorectal cancer	9/86	2.8349690133526636e-5	0.004365852280563102	5.703060642544832	59.71614607500236	SMAD2;TCF7L2;SMAD4;PIK3CA;APC;EGF;CTNNB1;TP53;MTOR	9
KEGG_2019_Human	Gastric cancer	11/149	9.870234555665201e-5	0.00506672040524147	4.023188193771373	37.107481418474975	SMAD2;TCF7L2;SMAD4;CDKN1B;MUC2;PIK3CA;APC;EGF;CTNNB1;TP53;MTOR	11
KEGG_2019_Human	Pathways in cancer	24/530	4.9509016433040865e-5	0.005082925687125529	2.4677394478432984	24.463579056660155	SMAD2;TCF7L2;SMAD4;CDKN1B;LAMA2;DAPK1;MAX;LAMA1;EGF;NOTCH4;LAMA3;CXCR4;BRCA2;GLI3;RELA;MTOR;GLI2;SMO;PIK3CA;APC;ABL1;GNAS;CTNNB1;TP53	24
KEGG_2019_Human	Amoebiasis	9/96	6.807025206783571e-5	0.0052414094092233495	5.108991825613079	49.02062466336844	COL3A1;MUC2;PIK3CA;LAMA2;LAMA1;LAMA3;GNAS;C8B;RELA	9
KEGG_2019_Human	Basal cell carcinoma	7/63	1.5135390640590296e-4	0.00665957188185973	6.055101422948834	53.260004313759126	TCF7L2;SMO;APC;CTNNB1;TP53;GLI3;GLI2	7
KEA_2015	CSNK1G1	4/12	4.913732396687425e-5	0.007010258219274059	18.1653042688465	180.21601543474404	APC;CTNNB1;TP53;SLC18A2	4
Panther_2016	Inflammation mediated by chemokine and cytokine signaling pathway_Homo sapiens_P00031	12/188	1.923169190244354e-4	0.007179831643578921	3.478462519566351	29.762998180045468	MYH3;PIK3CA;COL12A1;CXCR5;NFATC2;COL6A3;CXCR4;ITPR3;VAV1;MYH6;RELA;PAK4	12
KEA_2015	CSNK1G3	4/10	2.146253234236727e-5	0.009185963842533191	21.798365122615802	234.31502615405572	APC;CTNNB1;TP53;SLC18A2	4
KEGG_2019_Human	Protein digestion and absorption	8/90	2.49316689763699e-4	0.009598692555902412	4.844081138359067	40.19030759029037	COL3A1;COL27A1;MME;ELN;COL11A1;COL22A1;COL12A1;COL6A3	8
KEGG_2019_Human	Herpes simplex virus 1 infection	21/492	3.2426300128976456e-4	0.009987300439724749	2.3260450588157107	18.687342817009615	HLA-B;EIF2AK3;ZNF98;ZNF12;RELA;MTOR;ZNF829;ZNF91;PIK3CA;ZNF606;OAS2;ZNF208;ZNF548;ZNF658;ZNF585B;ZNF302;TP53;ZNF587;NXF5;ZNF674;ZFP28	21
KEA_2015	CSNK1G2	4/12	4.913732396687425e-5	0.010515387328911089	18.1653042688465	180.21601543474404	APC;CTNNB1;TP53;SLC18A2	4
