datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Transcription_Factor_PPIs	HEY1	2/12	4.4656194172606244e-5	0.012816327727537992	196.07843137254903	1964.0230456849977	SMAD3;FBXW7	2
Transcription_Factor_PPIs	KLF5	2/35	3.979873115628295e-4	0.038074119472844024	67.22689075630252	526.3254073064493	SMAD3;FBXW7	2
Transcription_Factor_PPIs	KLF4	2/31	3.116539576784677e-4	0.044722342926860115	75.90132827324479	612.7982615314888	SMAD3;APC	2
WikiPathways_2019_Human	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850	2/31	3.116539576784677e-4	0.04903355600807891	75.90132827324479	612.7982615314888	SMAD3;NEB	2
Transcription_Factor_PPIs	JUN	3/248	0.001126273578445804	0.06464810340278915	14.231499051233397	96.61538160204768	SMAD3;APC;FBXW7	3
WikiPathways_2019_Human	Extracellular vesicle-mediated signaling in recipient cells WP2870	2/30	2.9169286205301905e-4	0.0688395154445125	78.43137254901961	638.416404043489	SMAD3;APC	2
Transcription_Factor_PPIs	SMAD4	3/245	0.0010874447654406513	0.07802416192036674	14.40576230492197	98.30383558257928	SMAD3;APC;THOC2	3
WikiPathways_2019_Human	Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	2/25	2.0167031602328324e-4	0.09518838916298969	94.11764705882354	800.8354157912519	FBN2;SMAD3	2
Transcription_Factor_PPIs	TP63	2/120	0.004577501584745696	0.11943117771109225	19.607843137254903	105.61964578847743	SMAD3;FBXW7	2
Transcription_Factor_PPIs	HIF1A	2/126	0.0050336357625974625	0.12038778865545598	18.674136321195146	98.81629767227176	SMAD3;FBXW7	2
Transcription_Factor_PPIs	CTNNB1	3/398	0.004321924909294262	0.12403924489674531	8.867868755542418	48.277159873892714	SMAD3;APC;LRRK2	3
Transcription_Factor_PPIs	CEBPA	2/113	0.004071107650863602	0.12982309953309484	20.82248828735034	114.6036474016536	SMAD3;FBXW7	2
Transcription_Factor_PPIs	VDR	2/109	0.0037943088288471378	0.13612082923489108	21.586616297895308	120.3292609068028	SMAD3;CFH	2
Transcription_Factor_PPIs	EPAS1	2/106	0.003592753073271419	0.14730287600412817	22.197558268590456	124.94642613986858	SMAD3;APC	2
Reactome_2016	O-linked glycosylation_Homo sapiens_R-HSA-5173105	3/110	1.0406304392893897e-4	0.15921645721127664	32.085561497326204	294.241079706687	WBSCR17;MUC16;ADAMTS9	3
Transcription_Factor_PPIs	ESR2	3/365	0.003389579926121341	0.16213490646613746	9.6696212731668	54.99161270781345	FLG;SMAD3;APC	3
