datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
KEGG_2019_Human	Colorectal cancer	6/86	7.776006539118493e-9	2.3950100140484957e-6	39.8671096345515	744.4075586253531	TCF7L2;NRAS;SMAD4;APC;PIK3CA;BRAF	6
KEGG_2019_Human	Endometrial cancer	5/58	5.22209431678929e-8	8.042025247855507e-6	49.26108374384237	825.9991237639499	TCF7L2;NRAS;APC;PIK3CA;BRAF	5
KEGG_2019_Human	Gastric cancer	6/149	2.0987100163850404e-7	2.1546756168219745e-5	23.010546500479386	353.82794491781715	TCF7L2;NRAS;SMAD4;APC;PIK3CA;BRAF	6
KEGG_2019_Human	Hepatocellular carcinoma	6/168	4.260548423760935e-7	3.28062228629592e-5	20.408163265306122	299.36117879573493	TCF7L2;NRAS;SMAD4;APC;PIK3CA;BRAF	6
WikiPathways_2019_Human	Endometrial cancer WP4155	5/63	7.960637742141503e-8	3.757421014290789e-5	45.35147392290249	741.3229763694283	TCF7L2;NRAS;APC;PIK3CA;BRAF	5
KEGG_2019_Human	Breast cancer	5/147	5.444700095327333e-6	2.7949460489346976e-4	19.436345966958214	235.58538157449306	TCF7L2;NRAS;APC;PIK3CA;BRAF	5
WikiPathways_2019_Human	DNA Damage Response (only ATM dependent) WP710	5/110	1.3070179399496312e-6	3.0845623382811293e-4	25.974025974025974	351.88993239908166	TCF7L2;NRAS;SMAD4;APC;PIK3CA	5
KEGG_2019_Human	Acute myeloid leukemia	4/66	5.242655837511443e-6	3.229475995907049e-4	34.63203463203463	421.0799081839375	TCF7L2;NRAS;PIK3CA;BRAF	4
KEGG_2019_Human	Chronic myeloid leukemia	4/76	9.217643270479315e-6	4.055763039010899e-4	30.07518796992481	348.7034936435129	NRAS;SMAD4;PIK3CA;BRAF	4
Panther_2016	Angiogenesis_Homo sapiens_P00005	5/142	4.5971092158310525e-6	5.148762321730779e-4	20.12072434607646	247.28536988643953	TCF7L2;NRAS;APC;PIK3CA;BRAF	5
WikiPathways_2019_Human	Chromosomal and microsatellite instability in colorectal cancer  WP4216	4/73	7.849050401126895e-6	9.261879473329735e-4	31.31115459882583	368.0663170722971	TCF7L2;SMAD4;APC;BRAF	4
KEGG_2019_Human	Prostate cancer	4/97	2.4253874430143623e-5	9.337741655605294e-4	23.5640648011782	250.41376572671572	TCF7L2;NRAS;PIK3CA;BRAF	4
