datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
PPI_Hub_Proteins	ALB	5/164	1.8195456175563264e-5	0.007005250627591856	15.24390243902439	166.3771136545012	NR5A2;PEG3;CNOT1;ATM;CFB	5
KEA_2015	ATM	5/161	1.6644538410833717e-5	0.007123862439836831	15.527950310559005	170.86068973171749	SMAD1;EPB41L3;ATM;TP53;EPN2	5
WikiPathways_2019_Human	Signaling Pathways in Glioblastoma WP2261	4/82	2.143440732345385e-5	0.010117040256670217	24.390243902439025	262.2076367863521	MAP2K3;ATM;TP53;EGFR	4
BioCarta_2016	Tumor Suppressor Arf Inhibits Ribosomal Biogenesis_Homo sapiens_h_arfPathway	2/23	9.608374667470638e-4	0.028464809952381764	43.47826086956522	302.0741431562353	ATM;TP53	2
BioCarta_2016	Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility_Homo sapiens_h_atrbrcaPathway	2/22	8.78395909700633e-4	0.029739975799864288	45.45454545454545	319.88241562516987	ATM;TP53	2
WikiPathways_2019_Human	Photodynamic therapy-induced AP-1 survival signaling. WP3611	3/50	1.3608554044552048e-4	0.03211618754514283	30	267.0668068825577	MAP2K3;TP53;EGFR	3
BioCarta_2016	Cell Cycle: G1/S Check Point _Homo sapiens_h_g1Pathway	2/26	0.0012296070457520425	0.03237965220480379	38.46153846153846	257.7331013707369	ATM;TP53	2
BioCarta_2016	Regulation of cell cycle progression by Plk3_Homo sapiens_h_plk3Pathway	2/18	5.847441918510701e-4	0.034646093367175904	55.55555555555555	413.57422695854274	ATM;TP53	2
BioCarta_2016	Cell Cycle: G2/M Checkpoint_Homo sapiens_h_g2Pathway	2/22	8.78395909700633e-4	0.034696638433175005	45.45454545454545	319.88241562516987	ATM;TP53	2
WikiPathways_2019_Human	Integrated Breast Cancer Pathway WP1984	4/151	0.00023095470283153991	0.03633687324549561	13.245033112582782	110.90448951403066	SMAD1;ATM;TP53;EGFR	4
BioCarta_2016	Hypoxia and p53 in the Cardiovascular system_Homo sapiens_h_p53hypoxiaPathway	2/21	7.995517676019706e-4	0.037898753784333404	47.61904761904761	339.5932989435837	ATM;TP53	2
WikiPathways_2019_Human	miRNAs involved in DNA damage response WP1545	2/15	4.0282030348904685e-4	0.038026236649366024	66.66666666666667	521.1346661672503	ATM;TP53	2
WikiPathways_2019_Human	RAC1/PAK1/p38/MMP2 Pathway WP3303	3/68	3.3940031385696067e-4	0.04004923703512136	22.058823529411764	176.2131679505288	ANGPT1;TP53;EGFR	3
BioCarta_2016	Apoptotic Signaling in Response to DNA Damage_Homo sapiens_h_chemicalPathway	2/14	3.4955273047183893e-4	0.041421998560912915	71.42857142857142	568.4897238318184	ATM;TP53	2
KEA_2015	CDK9	2/11	2.12071277436947e-4	0.04538325337150666	90.9090909090909	768.96255686131	SMAD1;TP53	2
BioCarta_2016	ATM Signaling Pathway_Homo sapiens_h_atmPathway	2/18	5.847441918510701e-4	0.04619479115623454	55.55555555555555	413.57422695854274	ATM;TP53	2
WikiPathways_2019_Human	BMP Signaling Pathway in Eyelid Development WP3927	2/20	7.243190568082219e-4	0.04883979925906868	50	361.51392882265003	SMAD1;EGFR	2
WikiPathways_2019_Human	TP53 Network WP1742	2/19	6.527118331915355e-4	0.051346664211067455	52.63157894736842	386.01972752026137	ATM;TP53	2
WikiPathways_2019_Human	miRNA regulation of p53 pathway in prostate cancer WP3982	2/24	0.0010468624608583276	0.05490212016945896	41.666666666666664	285.9149050295893	ATM;TP53	2
WikiPathways_2019_Human	Angiogenesis WP1539	2/24	0.0010468624608583276	0.06176488519064133	41.666666666666664	285.9149050295893	SMAD1;ANGPT1	2
BioCarta_2016	RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage_Homo sapiens_h_rbPathway	2/13	2.999958070148033e-4	0.07109900626250838	76.92307692307692	623.9801584633129	ATM;TP53	2
WikiPathways_2019_Human	Gastric Cancer Network 2 WP2363	2/31	0.0017482077236044978	0.07501400414012027	32.25806451612903	204.81174754177738	TP53;EGFR	2
WikiPathways_2019_Human	ESC Pluripotency Pathways WP3931	3/116	0.0016063545128377145	0.07581993300594012	12.931034482758621	83.1955337725779	MAP2K3;SMAD1;EGFR	3
KEGG_2019_Human	Cellular senescence	4/160	2.8805079581776285e-4	0.08871964511187096	12.5	101.90467148766533	MAP2K3;TRPM7;ATM;TP53	4
WikiPathways_2019_Human	Photodynamic therapy-induced HIF-1 survival signaling WP3614	2/37	0.0024849910419855246	0.09774298098476397	27.027027027027028	162.09422227769844	ANGPT1;TP53	2
WikiPathways_2019_Human	Bladder Cancer WP2828	2/40	0.0028993544104051667	0.09774966297937418	25	146.08167959685602	TP53;EGFR	2
WikiPathways_2019_Human	ATM Signaling Pathway WP2516	2/40	0.0028993544104051667	0.10526886782394143	25	146.08167959685602	ATM;TP53	2
