datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	12/62	6.05502003421705e-8	4.632090326176043e-5	7.387343018960847	122.77611222541063	SEMA5A;ADAMTS15;ADAMTS2;ADAMTS14;ADAMTS19;MUC17;ADAMTSL3;ADAMTS18;MUC5B;MUC4;THSD4;MUC6	12
Reactome_2016	Axon guidance_Homo sapiens_R-HSA-422475	37/515	3.351534880799233e-8	5.1278483676228266e-5	2.742162602831097	47.19607990794178	SEMA5A;TRIO;SHC3;PLXND1;CACNA1C;KALRN;ACTB;CACNA1H;SPTA1;GRIN2A;DPYSL4;RPS6KA2;KDR;SCN7A;SLIT2;EPHB2;EPHB1;PLXNA4;KL;EPHA7;VWF;TRPC4;SEMA6D;SIAH2;NRG1;ANK2;LAMB1;ANK3;SCN10A;PTPRA;COL4A1;KIF4A;COL9A1;PRKCQ;COL6A6;SCN2A;EPHA3	37
KEGG_2019_Human	ECM-receptor interaction	13/82	2.022993616369546e-7	6.230820338418201e-5	6.051014708620368	93.26741958106342	LAMA5;VWF;LAMA2;LAMA3;LAMB4;LAMB1;HMMR;COL1A2;COL4A1;COL9A1;TNR;COL6A6;CD44	13
GO_Biological_Process_2018	calcium ion transport (GO:0006816)	17/119	1.3799522829145412e-8	7.041896499712904e-5	5.4525627044711005	98.68392487993034	RYR1;RYR2;TRPA1;TRPC4;CACNA2D1;ANK2;CACNA2D4;CACNA1C;CACNA1F;PKD1;SLC8A1;CACNA1H;TRPM1;SLC8A3;TRPV5;CDH23;TRPM6	17
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	13/91	7.014265827988543e-7	1.0801969375102356e-4	5.4525627044711005	77.26362922753994	RYR2;LAMA2;CACNA2D1;ADCY2;CACNA2D4;CACNA1C;ADCY8;CACNA1F;ACTB;SLC8A1;TTN;GNAS;EMD	13
Reactome_2016	Collagen biosynthesis and modifying enzymes_Homo sapiens_R-HSA-1650814	11/63	6.459652377830889e-7	3.2944227126937534e-4	6.664243305464679	94.98226196960064	ADAMTS2;ADAMTS14;COL1A2;COL5A1;COL4A1;COL11A1;COL22A1;COL12A1;COL5A2;COL9A1;COL6A6	11
KEGG_2019_Human	Protein digestion and absorption	12/90	3.948092269547315e-6	4.053374730068576e-4	5.089058524173027	63.31948124912746	SLC8A3;CPA2;COL1A2;COL5A1;COL4A1;COL11A1;COL22A1;COL12A1;COL5A2;COL9A1;COL6A6;SLC8A1	12
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	22/278	4.563635940679902e-6	5.11127225356149e-4	3.020484375858092	37.1440770674368	SRCAP;PCDHGB4;PCDHGA3;PCDHGC5;ITPR2;PCDH19;CDH9;CDH8;SMARCA4;CDH7;MYH2;APC;CDH20;FAT1;MYH13;CDH23;FAT2;PRKCQ;FAT3;PLCB1;TP53;CDH18	22
Reactome_2016	Collagen formation_Homo sapiens_R-HSA-1474290	12/85	2.135229877262713e-6	6.533803424423902e-4	5.388414907947912	70.3561899213151	ADAMTS2;ADAMTS14;COL1A2;COL5A1;COL4A1;COL11A1;COL22A1;COL12A1;LAMA3;COL5A2;COL9A1;COL6A6	12
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	23/283	1.7685136124404388e-6	6.764564567584678e-4	3.101987969681439	41.086981902833955	LAMA5;LAMA2;COL11A1;COL22A1;NRXN1;COL12A1;LAMA3;LAMB1;NID2;ADAMTS14;ADAMTS2;COL1A2;COL5A1;COL4A1;ADAMTS18;COL5A2;KDR;COL9A1;MMP19;TNR;COL6A6;MATN4;CD44	23
KEGG_2019_Human	Calcium signaling pathway	17/188	9.79806131281062e-6	7.544507210864177e-4	3.451356179957772	39.80561602452076	RYR1;CHRM3;RYR2;PDE1C;ITPR2;ADRA1D;ADCY2;CACNA1C;CACNA1F;ADCY8;SLC8A1;CACNA1H;GRM1;SLC8A3;GRIN2A;GNAS;PLCB1	17
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	12/88	3.1040960140140436e-6	7.915444835735812e-4	5.2047189451769595	66.0103471049886	SEMA5A;ADAMTS15;ADAMTS2;ADAMTS14;ADAMTS19;MUC17;ADAMTSL3;ADAMTS18;MUC5B;MUC4;THSD4;MUC6	12
Reactome_2016	O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	8/38	5.149483234736964e-6	8.754121499052838e-4	8.035355564483728	97.84342459696926	SEMA5A;ADAMTS15;ADAMTS14;ADAMTS2;ADAMTS19;ADAMTS18;ADAMTSL3;THSD4	8
Panther_2016	Integrin signalling pathway_Homo sapiens_P00034	15/156	1.563854152337312e-5	8.757583253088948e-4	3.669994128009395	40.611318556138784	LAMA5;LAMA2;COL11A1;COL12A1;LAMA3;LAMB4;LAMB1;ACTB;PIK3CG;COL1A2;COL5A1;PIK3CA;COL4A1;COL5A2;COL9A1	15
Reactome_2016	Developmental Biology_Homo sapiens_R-HSA-1266738	43/786	4.64912115371627e-6	8.891444206482366e-4	2.088067905910689	25.639035763427813	SEMA5A;TRIO;SHC3;PLXND1;KMT2C;SLC2A2;CACNA1C;KALRN;ACTB;CACNA1H;HELZ2;SPTA1;GRIN2A;ACVR1C;DPYSL4;POLR2A;RPS6KA2;KDR;SCN7A;SLIT2;EPHB2;EPHB1;PLXNA4;KL;EPHA7;VWF;TRPC4;SEMA6D;SIAH2;NRG1;ANK2;LAMB1;ANK3;SCN10A;PTPRA;COL4A1;KIF4A;COL9A1;HOXB3;PRKCQ;COL6A6;SCN2A;EPHA3	43
Reactome_2016	Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	8/37	4.160079186640777e-6	9.092744507943412e-4	8.252527336496803	102.24861934080532	SEMA5A;ADAMTS15;ADAMTS14;ADAMTS2;ADAMTS19;ADAMTS18;ADAMTSL3;THSD4	8
Reactome_2016	O-linked glycosylation_Homo sapiens_R-HSA-5173105	13/110	6.169145929969935e-6	9.438793272854001e-4	4.510756419153365	54.110809154899805	SEMA5A;GALNT13;MUC17;MUC5B;THSD4;ADAMTS15;ADAMTS14;ADAMTS2;ADAMTS19;ADAMTS18;ADAMTSL3;MUC4;MUC6	13
KEGG_2019_Human	Focal adhesion	17/199	2.0631698403893948e-5	0.0012709126216798672	3.260577697648548	35.17733561420271	LAMA5;SHC3;VWF;LAMA2;HGF;LAMA3;LAMB4;LAMB1;ACTB;COL1A2;PIK3CA;COL4A1;KDR;COL9A1;TNR;COL6A6;FLNC	17
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	14/145	2.8509776530334945e-5	0.0014635018618905273	3.6851803106080547	38.56638297105928	RYR2;CACNA2D1;ADRA1D;ADCY2;CACNA2D4;CACNA1C;CACNA1F;ADCY8;SLC8A1;PIK3CG;PPP2R2C;GNAS;SCN7A;PLCB1	14
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	14/150	4.159767958079709e-5	0.001552980037683091	3.5623409669211195	35.93499399538106	PCDHGB4;PCDHGA3;PCDHGC5;PCDH19;CDH9;CDH8;ACTB;CDH7;CDH20;CDH23;FAT1;FAT2;FAT3;CDH18	14
KEGG_2019_Human	Glutamatergic synapse	12/114	4.511344146272731e-5	0.0019849914243600018	4.017677782241864	40.20221100438826	GRIN2A;GRIK5;GRM8;GNAS;ITPR2;ADCY2;CACNA1C;GRIK2;PLCB1;ADCY8;GRM1;KCNJ3	12
KEGG_2019_Human	Oxytocin signaling pathway	14/153	5.1753857826472654e-5	0.0019925235263191974	3.492491144040313	34.4674355478626	RYR1;RYR2;CACNA2D1;ITPR2;ADCY2;CACNA2D4;CACNA1C;CACNA1F;ADCY8;ACTB;PIK3CG;GNAS;PLCB1;KCNJ3	14
PPI_Hub_Proteins	PRKACA	29/440	5.754368118764963e-6	0.0022154317257245108	2.5156141568355306	30.35227170742701	RB1;RYR1;SLC23A2;RYR2;BRSK2;LRRK2;NEDD4L;ITPR2;SLC2A2;CACNA1C;PKD1;CACNA1H;TTN;GRIN2A;STK11;CUX1;ALOX5;EMD;KCNJ3;ARFGEF1;PDE4DIP;ANK2;APC;PDE3A;PRKCQ;PLCB1;TP53;CD44;ARHGEF6	29
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	10/85	7.523481513457046e-5	0.0025747025623830775	4.49034575662326	42.63536805985497	RYR2;LAMA2;CACNA2D1;CACNA2D4;CACNA1C;CACNA1F;EMD;ACTB;SLC8A1;TTN	10
GO_Biological_Process_2018	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	16/143	1.1214967519175518e-6	0.0028614989625176334	4.270538621683659	58.5099936120648	REG3A;TENM2;TENM4;PCDHGB4;CDH9;PKD1;CDH8;CDH7;SELP;PTPRD;CDH20;CDH23;FAT2;FAT4;SDK2;CDH18	16
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	9/72	1.0664468532947819e-4	0.0032846563081479286	4.770992366412213	43.63553409881265	RYR2;LAMA2;CACNA2D1;CACNA2D4;CACNA1C;CACNA1F;EMD;ACTB;SLC8A1	9
WikiPathways_2019_Human	Calcium Regulation in the Cardiac Cell WP536	15/149	8.978463349893565e-6	0.004237834701149763	3.8424099595266146	44.65142352115213	RYR1;CHRM3;RYR2;ITPR2;ADRA1D;ADCY2;CACNA1C;ADCY8;SLC8A1;SLC8A3;GJB4;GNAS;PRKCQ;RGS7;KCNJ3	15
KEGG_2019_Human	Small cell lung cancer	10/93	1.6121218653026033e-4	0.004513941222847289	4.1040794549782484	35.84006046099581	RB1;LAMA5;CDKN1B;PIK3CA;LAMA2;COL4A1;LAMA3;LAMB4;LAMB1;TP53	10
GO_Biological_Process_2018	calcium ion transmembrane transport (GO:0070588)	12/87	2.7451478486048198e-6	0.0046694964904767985	5.26454330086865	67.41603381624118	TRPM1;SLC8A3;GRIN2A;TRPA1;TRPC4;CACNA2D1;TRPV5;CACNA2D4;CACNA1C;PKD1;TRPM6;SLC8A1	12
KEGG_2019_Human	Amoebiasis	10/96	2.0989240089246724e-4	0.005387238289573326	3.975826972010178	33.67094280875931	LAMA5;COL1A2;PIK3CA;LAMA2;COL4A1;LAMA3;LAMB4;GNAS;LAMB1;PLCB1	10
KEGG_2019_Human	Circadian entrainment	10/97	2.2863609446532312e-4	0.005416916699639963	3.9348390650822376	32.98724689351673	RYR1;RYR2;GRIN2A;GNAS;ADCY2;CACNA1C;PLCB1;ADCY8;CACNA1H;KCNJ3	10
GO_Biological_Process_2018	inorganic cation transmembrane transport (GO:0098662)	15/141	4.552831211601035e-6	0.00580827441820002	4.060419035244437	49.942184806753346	SCARA5;TRPA1;TRPC4;CACNA2D4;CACNA1C;PKD1;SLC8A1;CACNA1H;TRPM1;SLC8A3;SCN10A;TRPV5;SCN7A;SCN2A;TRPM6	15
