datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
WikiPathways_2019_Human	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	9/303	7.479825795811188e-6	0.0035304777756228808	6.75067506750675	79.68025015017423	RELN;ITGAD;COL11A1;ITGAX;KDR;FN1;IRS2;LAMB1;NOS1	9
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	6/88	2.4778866205775843e-6	0.003791166529483704	15.495867768595039	200.0222809433653	SEMA5A;ADAMTS16;VCAN;MUC16;ADAMTSL3;ADAMTS12	6
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	9/230	7.813387187105292e-7	0.003987171481579831	8.893280632411066	125.05959855883782	POSTN;VCAN;ITGAD;COL11A1;ITGAX;KDR;FN1;NF1;LAMB1	9
Reactome_2016	O-linked glycosylation_Homo sapiens_R-HSA-5173105	6/110	9.065431604266467e-6	0.004623370118175898	12.396694214876032	143.93853846355665	SEMA5A;ADAMTS16;WBSCR17;MUC16;ADAMTSL3;ADAMTS12	6
PPI_Hub_Proteins	PLCG1	8/244	1.213495937168094e-5	0.004671959358097162	7.451564828614009	84.347392450218	ITK;ARHGAP32;TRPC3;AHNAK;NTRK3;KDR;IRS2;FLNC	8
Reactome_2016	O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	4/38	2.303695119097196e-5	0.0050352193317410145	23.923444976076553	255.46437937017402	SEMA5A;ADAMTS16;ADAMTSL3;ADAMTS12	4
Reactome_2016	Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	4/37	2.0681258101940307e-5	0.005273720815994778	24.57002457002457	265.01923030770604	SEMA5A;ADAMTS16;ADAMTSL3;ADAMTS12	4
Reactome_2016	Post-translational protein modification_Homo sapiens_R-HSA-597592	11/521	1.7655543955328622e-5	0.005402596450330558	4.798464491362764	52.51660613621825	SEMA5A;SPTA1;ADAMTS16;MDC1;WBSCR17;ST6GAL2;MUC16;MAN2A1;ADAMTSL3;ADAMTS12;F5	11
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	5/62	7.808489270206901e-6	0.005973494291708279	18.328445747800586	215.54800308168106	SEMA5A;ADAMTS16;MUC16;ADAMTSL3;ADAMTS12	5
Reactome_2016	Axon guidance_Homo sapiens_R-HSA-422475	11/515	1.5859972341480605e-5	0.0060664394206163316	4.854368932038835	53.64908779454284	SEMA5A;SPTA1;TRPC3;MYO10;KDR;FN1;NF1;SCN7A;IRS2;LAMB1;SCN3A	11
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	8/283	3.5150109815095874e-5	0.006722458502137086	6.424670735624799	65.89067019291792	ADAMTS16;VCAN;ITGAD;COL11A1;ITGAX;KDR;FN1;LAMB1	8
WikiPathways_2019_Human	Overview of nanoparticle effects WP3287	3/19	7.579168539215986e-5	0.017886837752549727	35.88516746411483	340.4613144519903	ITGAD;FN1;NFRKB	3
Reactome_2016	Developmental Biology_Homo sapiens_R-HSA-1266738	12/786	1.651752545734358e-4	0.028079793277484087	3.4698126301179735	30.21687542961432	SEMA5A;SPTA1;TRPC3;MYO10;NCOA6;KDR;FN1;NF1;SCN7A;IRS2;LAMB1;SCN3A	12
Reactome_2016	Integrin cell surface interactions_Homo sapiens_R-HSA-216083	4/67	2.1707029539555305e-4	0.03321175519551962	13.568521031207597	114.45440047444609	ITGAD;KDR;ITGAX;FN1	4
Reactome_2016	Interaction between L1 and Ankyrins_Homo sapiens_R-HSA-445095	3/29	2.7685572008301264e-4	0.03850811379336449	23.510971786833853	192.60221129156253	SPTA1;SCN7A;SCN3A	3
PPI_Hub_Proteins	MTOR	5/138	3.599905156520148e-4	0.06929817426301285	8.23451910408432	65.29506647127992	PREX1;AHNAK;CUX1;IRS2;NFRKB	5
Panther_2016	Integrin signalling pathway_Homo sapiens_P00034	5/156	6.300573246012211e-4	0.07056642035533676	7.284382284382283	53.68371030949631	ITGAD;COL11A1;ITGAX;FN1;LAMB1	5
KEA_2015	MTOR	4/78	3.893872483815072e-4	0.08332887115364254	11.655011655011654	91.50275305827259	AHNAK;CUX1;IRS2;NFRKB	4
PPI_Hub_Proteins	RPS6KA3	7/375	0.0013302938140803068	0.08536051973681968	4.242424242424242	28.09484129583425	RYR2;PLCB3;AHNAK;IRS2;ETV1;KIAA1244;NOS1	7
PPI_Hub_Proteins	GRIN2B	5/219	0.0028211999215793262	0.09051349748400339	5.18887505188875	30.46177345593177	ARHGAP32;GRM5;NF1;NOS1;FLNC	5
PPI_Hub_Proteins	PRKACA	8/440	7.11845050897611e-4	0.09135344819852675	4.132231404958677	29.948968162726818	RYR2;PLCB3;CUX1;PDE3A;IRS2;ETV1;NOS1;ARHGEF6	8
PPI_Hub_Proteins	AKT1	7/355	9.695188072682342e-4	0.09331618519956754	4.481434058898848	31.095374386515775	RYR2;ARHGAP32;PLCB3;AHNAK;PDE3A;IRS2;FLNC	7
PPI_Hub_Proteins	CDK1	9/659	0.0024414938897932186	0.09399751475703891	3.1038763967443783	18.6702671382234	MDC1;GRM5;AHNAK;CUX1;ASXL2;EP400;NF1;IRS2;NFRKB	9
KEA_2015	TEC	2/9	6.753596640136004e-4	0.09635131206594033	50.5050505050505	368.70026128396506	ITK;BDP1	2
PPI_Hub_Proteins	PRKG1	4/121	0.0020094881450016303	0.09670661697820346	7.513148009015778	46.655711822457484	RYR2;PLCB3;TRPC3;KIAA1244	4
PPI_Hub_Proteins	MAPK10	5/182	0.0012573216377623434	0.09681376610770044	6.243756243756243	41.7006212837664	MDC1;GRM5;ASXL2;IRS2;BCOR	5
