datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
WikiPathways_2019_Human	Pathways Affected in Adenoid Cystic Carcinoma WP3651	6/65	4.0944756483973693e-7	1.9325925060435583e-4	20.97902097902098	308.56902773373537	MAGI1;KMT2C;HIST1H1E;ATM;TP53;FOXP2	6
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	9/278	3.7266729195911997e-6	4.173873669942144e-4	7.357750163505559	91.97183805524935	MYH1;PCDHA1;FAT1;FAT2;MYH4;PCDHA11;TP53;CDH19;MYH7	9
Reactome_2016	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)_Homo sapiens_R-HSA-5083625	4/18	1.0213080336239917e-6	7.813006457223537e-4	50.5050505050505	696.6882003190269	MUC2;MUC16;MUC5B;MUC4	4
Reactome_2016	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)_Homo sapiens_R-HSA-5083632	4/20	1.606245377057105e-6	8.191851422991235e-4	45.45454545454545	606.4368712001713	MUC2;MUC16;MUC5B;MUC4	4
Reactome_2016	Defective GALNT12 causes colorectal cancer 1 (CRCS1)_Homo sapiens_R-HSA-5083636	4/18	1.0213080336239917e-6	0.0015626012914447074	50.5050505050505	696.6882003190269	MUC2;MUC16;MUC5B;MUC4	4
Reactome_2016	Termination of O-glycan biosynthesis_Homo sapiens_R-HSA-977068	4/26	4.857462483735867e-6	0.001857979400028969	34.96503496503497	427.7970062620098	MUC2;MUC16;MUC5B;MUC4	4
GO_Biological_Process_2018	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	6/65	4.0944756483973693e-7	0.0020894109233771775	20.97902097902098	308.56902773373537	TENM3;DSCAM;FAT2;DSCAML1;SDK2;CDH19	6
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	5/62	7.808489270206901e-6	0.002389397716683312	18.328445747800586	215.54800308168106	MUC2;MUC16;MUC5B;ADAMTS9;MUC4	5
WikiPathways_2019_Human	Bladder Cancer WP2828	4/40	2.8331279731939242e-5	0.006686182016737661	22.727272727272727	237.98963801859264	NRAS;BRAF;FGFR3;TP53	4
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	8/283	3.5150109815095874e-5	0.008963278002849448	6.424670735624799	65.89067019291792	FBN3;TNXB;DST;LAMA1;COL11A2;COL6A6;ADAMTS9;PLEC	8
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	5/88	4.32169876602898e-5	0.009445998731463344	12.913223140495866	129.76855510243948	MUC2;MUC16;MUC5B;ADAMTS9;MUC4	5
KEGG_2019_Human	Bladder cancer	4/41	3.128902974708308e-5	0.009637021162101588	22.172949002217294	229.9832152808612	NRAS;BRAF;FGFR3;TP53	4
KEGG_2019_Human	Human papillomavirus infection	8/330	1.031205394847894e-4	0.015880563080657568	5.509641873278237	50.57637447782764	MAGI1;NRAS;TNXB;TRAF3;LAMA1;COL6A6;ATM;TP53	8
Reactome_2016	Assembly of collagen fibrils and other multimeric structures_Homo sapiens_R-HSA-2022090	4/54	9.354594936602666e-5	0.0178906628162526	16.835016835016834	156.17942433191038	DST;COL11A2;COL6A6;PLEC	4
Reactome_2016	O-linked glycosylation_Homo sapiens_R-HSA-5173105	5/110	1.2516187887923078e-4	0.02127751940946923	10.330578512396693	92.82957259770195	MUC2;MUC16;MUC5B;ADAMTS9;MUC4	5
