datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
GO_Biological_Process_2018	response to caffeine (GO:0031000)	3/7	3.455370034220276e-7	8.816376642313034e-4	194.8051948051948	2898.3440451422366	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	cellular response to purine-containing compound (GO:0071415)	3/8	5.520128583128063e-7	9.389738719900835e-4	170.45454545454544	2456.1979256072177	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	response to muscle stretch (GO:0035994)	3/9	8.267509091485156e-7	0.0010547274723462187	151.5151515151515	2122.0852099120507	RYR2;DMD;TTN	3
WikiPathways_2019_Human	Cell-type Dependent Selectivity of CCK2R Signaling WP3679	3/13	2.7976670467008715e-6	0.0013204988460428114	104.8951048951049	1341.2648271704895	RYR1;RYR2;RYR3	3
Panther_2016	Beta1 adrenergic receptor signaling pathway_Homo sapiens_P04377	3/28	3.1316337206252094e-5	0.0017537148835501172	48.7012987012987	505.09921953497866	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	cellular response to caffeine (GO:0071313)	3/7	3.455370034220276e-7	0.0017632753284626069	194.8051948051948	2898.3440451422366	RYR1;RYR2;RYR3	3
WikiPathways_2019_Human	Pathways Affected in Adenoid Cystic Carcinoma WP3651	4/65	1.2507058569162628e-5	0.0029516658223223803	27.972027972027973	315.7823045453955	SETD2;KMT2C;ARID1A;KDM6A	4
Panther_2016	Beta2 adrenergic receptor signaling pathway_Homo sapiens_P04378	3/28	3.1316337206252094e-5	0.0035074297671002343	48.7012987012987	505.09921953497866	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	cardiac left ventricle morphogenesis (GO:0003214)	3/14	3.555205435535855e-6	0.003628442667507893	97.4025974025974	1222.1199066822971	RYR2;SMAD4;TGFBR2	3
WikiPathways_2019_Human	Extracellular vesicle-mediated signaling in recipient cells WP2870	3/30	3.869184698386548e-5	0.006087517258794836	45.45454545454545	461.81280238066324	SMAD4;APC;TGFBR2	3
KEGG_2019_Human	Circadian entrainment	4/97	6.0815977226425675e-5	0.009365660492869554	18.74414245548266	181.9617248394428	RYR1;RYR2;GNAS;RYR3	4
GO_Biological_Process_2018	cellular response to alkaloid (GO:0071312)	3/21	1.2851296895554653e-5	0.010930028009669232	64.93506493506493	731.3029757137406	RYR1;RYR2;RYR3	3
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	5/278	3.4888620878637693e-4	0.01302508512802474	8.17527795945062	65.08146450498843	SMAD4;APC;PCDH15;FAT3;ARID1A	5
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	4/91	4.736333671954476e-5	0.014587907709619785	19.980019980019982	198.95428802173905	RYR2;GNAS;DMD;TTN	4
GO_Biological_Process_2018	muscle fiber development (GO:0048747)	3/28	3.1316337206252094e-5	0.015980726876350444	48.7012987012987	505.09921953497866	RYR1;DMD;TTN	3
GO_Biological_Process_2018	negative regulation of sequestering of calcium ion (GO:0051283)	3/25	2.2087955032044757e-5	0.016102119218360626	54.54545454545454	584.753351955984	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	release of sequestered calcium ion into cytosol (GO:0051209)	3/28	3.1316337206252094e-5	0.017756363195944938	48.7012987012987	505.09921953497866	RYR1;RYR2;RYR3	3
GO_Biological_Process_2018	response to calcium ion (GO:0051592)	4/80	2.8524682407042834e-5	0.018195181790392447	22.727272727272727	237.83501809372993	RYR1;RYR2;RYR3;TTN	4
KEGG_2019_Human	Apelin signaling pathway	4/137	2.312534807481682e-4	0.023742024023478598	13.271400132714	111.10811054812271	RYR1;RYR2;SMAD4;RYR3	4
WikiPathways_2019_Human	Calcium Regulation in the Cardiac Cell WP536	4/149	3.1856237370962677e-4	0.025060240065157308	12.202562538133007	98.25127841735672	RYR1;RYR2;GNAS;RYR3	4
WikiPathways_2019_Human	Myometrial Relaxation and Contraction Pathways WP289	4/156	3.7922441708439155e-4	0.02557056069483326	11.655011655011654	91.81098366679586	RYR1;RYR2;GNAS;RYR3	4
KEGG_2019_Human	Hippo signaling pathway	4/160	4.17379956547085e-4	0.025710605323300433	11.363636363636363	88.42629073007222	SMAD4;APC;FAT4;TGFBR2	4
KEGG_2019_Human	Hepatocellular carcinoma	4/168	5.018065359497311e-4	0.025759402178752864	10.822510822510822	82.22181708990637	SMAD4;APC;ARID1A;TGFBR2	4
GO_Biological_Process_2018	cardiac muscle contraction (GO:0060048)	3/37	7.325672830721313e-5	0.026702077467979184	36.85503685503686	350.91672457968184	RYR2;DMD;TTN	3
KEGG_2019_Human	Oxytocin signaling pathway	4/153	3.522969305618629e-4	0.027126863653263444	11.883541295306001	94.48646684758478	RYR1;RYR2;GNAS;RYR3	4
KEGG_2019_Human	Colorectal cancer	3/86	8.950631967844985e-4	0.027567946460962556	15.856236786469344	111.28884087605475	SMAD4;APC;TGFBR2	3
WikiPathways_2019_Human	Ectoderm Differentiation WP2858	4/138	2.3777688308534417e-4	0.028057672204070613	13.175230566534914	109.93646627163191	SMAD4;DMD;ZFHX4;GLI3	4
KEGG_2019_Human	Pathways in cancer	6/530	0.0010103877890107668	0.02829085809230147	5.145797598627786	35.492732790582046	SMAD4;APC;GNAS;TRAF1;GLI3;TGFBR2	6
WikiPathways_2019_Human	Mesodermal Commitment Pathway WP2857	4/147	3.025954861294954e-4	0.028565013890624363	12.368583797155225	100.22404049073616	SETD2;SMAD4;ZFHX4;KDM6A	4
GO_Biological_Process_2018	calcium ion transmembrane import into cytosol (GO:0097553)	3/37	7.325672830721313e-5	0.028756083427054508	36.85503685503686	350.91672457968184	RYR1;RYR2;RYR3	3
KEGG_2019_Human	Calcium signaling pathway	4/188	7.651744937953645e-4	0.029459218011121533	9.671179883945841	69.39464848823262	RYR1;RYR2;GNAS;RYR3	4
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	3/85	8.651631875355499e-4	0.029607806862327706	16.042780748663102	113.14319378687581	RYR2;DMD;TTN	3
GO_Biological_Process_2018	striated muscle hypertrophy (GO:0014897)	2/6	7.0553993763252393e-05	0.030003085847823078	151.5151515151515	1448.3533745896575	RYR2;TTN	2
KEGG_2019_Human	Transcriptional misregulation in cancer	4/186	7.352140144163508e-4	0.032349416634319436	9.775171065493646	70.53127003967055	WT1;TRAF1;KDM6A;TGFBR2	4
GO_Biological_Process_2018	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808)	2/6	7.0553993763252393e-05	0.032730639106716086	151.5151515151515	1448.3533745896575	RYR1;RYR2	2
WikiPathways_2019_Human	Chromosomal and microsatellite instability in colorectal cancer  WP4216	3/73	5.549004274577255e-4	0.0327391252200058	18.6799501867995	140.03839110149093	SMAD4;APC;TGFBR2	3
WikiPathways_2019_Human	Canonical and Non-Canonical TGF-B signaling WP3874	2/17	6.299290459948651e-4	0.0330362788566196	53.475935828877	394.1124796965983	SMAD4;TGFBR2	2
GO_Biological_Process_2018	release of sequestered calcium ion into cytosol by endoplasmic reticulum (GO:1903514)	2/7	9.863766028215162e-5	0.03355653202798799	129.87012987012986	1197.9295349554316	RYR1;RYR2	2
KEA_2015	PRKG1	4/106	8.595012136372494e-5	0.036786651943674274	17.152658662092623	160.57878926431152	RYR1;RYR2;APC;TTN	4
GO_Biological_Process_2018	heart contraction (GO:0060047)	3/45	1.3215303410538917e-4	0.03746538516887783	30.3030303030303	270.65302901882	RYR2;DMD;TTN	3
GO_Biological_Process_2018	positive regulation of alpha-beta T cell differentiation (GO:0046638)	2/8	1.313331865142055e-4	0.03942313239894063	113.63636363636363	1015.6560290053654	GLI3;TGFBR2	2
GO_Biological_Process_2018	cardiac muscle hypertrophy (GO:0003300)	2/8	1.313331865142055e-4	0.041887078173874416	113.63636363636363	1015.6560290053654	RYR2;TTN	2
KEA_2015	PRKACA	6/393	2.0803723276105308e-4	0.04451996781086536	6.939625260235947	58.83270985859326	RYR1;RYR2;APC;WT1;GLI3;TTN	6
GO_Biological_Process_2018	sarcoplasmic reticulum calcium ion transport (GO:0070296)	2/9	1.686210753356046e-4	0.04528807091776791	101.010101010101	877.5612644664726	RYR1;RYR2	2
Transcription_Factor_PPIs	SMAD3	6/375	1.6141629287735705e-4	0.04632647605580147	7.2727272727272725	63.50199170929258	SETD2;SMAD4;APOB;ARID1A;GLI3;TGFBR2	6
