datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	34/150	1.0004618098802014e-10	1.1205172270658256e-8	3.4925526450950177	80.41738404791937	PCDHGB7;PCDH11X;CELSR2;CELSR3;CDH6;CDH5;CDH4;PCDHA1;ERBB3;ERBB2;CDH23;PCDHA5;PCDHA4;PCDHA2;PCDHA6;PCDHGA7;TCF7L2;PCDHGA6;PCDHGA5;PCDH9;FZD7;PCDHGA2;WNT9A;PCDHB11;PCDHGA11;CDH10;CDH11;CDH12;CDH13;CTNNB1;DCHS1;FAT3;CDH15;PCDHB8	34
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	48/278	4.371890948853784e-10	2.448258931358119e-8	2.660429437651728	57.33399776883269	PCDHGB7;SRCAP;PCDH11X;ITPR1;LRP5;ITPR3;CELSR2;CELSR3;CDH6;CDH5;CDH4;PCDHA1;PCDHA5;MYH13;CDH23;PCDHA4;PCDHA2;PCDHA6;APC2;PCDHGA7;TCF7L2;SMAD4;PCDHGA6;PCDHGA5;PCDH9;FZD7;PCDHGA2;NFATC1;INO80;WNT9A;PCDHB11;ARID1A;PCDHGA11;MYH1;APC;CDH10;CDH11;CDH12;CTNNB1;CDH13;PRKCQ;DCHS1;FAT3;CDH15;MYH4;TP53;PCDHB8;MYH7	48
Reactome_2016	Collagen formation_Homo sapiens_R-HSA-1474290	24/85	4.877443974868442e-10	7.462489281548717e-7	4.350584609806943	93.28188361287988	COL18A1;COL27A1;CD151;COL14A1;ITGB4;COL11A1;COL12A1;COL11A2;LOXL4;COL19A1;LOXL2;ADAMTS14;COL2A1;COL1A2;BMP1;P4HA1;COL6A2;COL5A3;COL7A1;COL5A2;COL9A1;COL6A3;ITGA6;COL6A5	24
Reactome_2016	Assembly of collagen fibrils and other multimeric structures_Homo sapiens_R-HSA-2022090	18/54	3.8231130056345825e-9	2.9246814493104554e-6	5.136106831022085	99.54905404856882	COL18A1;COL27A1;CD151;ITGB4;COL11A1;COL11A2;LOXL4;LOXL2;COL2A1;COL1A2;BMP1;COL6A2;COL5A3;COL7A1;COL5A2;COL6A3;ITGA6;COL6A5	18
Reactome_2016	Collagen biosynthesis and modifying enzymes_Homo sapiens_R-HSA-1650814	19/63	9.352415176055656e-9	4.769731739788385e-6	4.646953799496172	85.91116813868392	COL18A1;COL27A1;COL14A1;COL11A1;COL12A1;COL11A2;COL19A1;ADAMTS14;COL2A1;COL1A2;BMP1;P4HA1;COL6A2;COL5A3;COL7A1;COL5A2;COL9A1;COL6A3;COL6A5	19
KEGG_2019_Human	Protein digestion and absorption	22/90	4.6508388621047296e-8	1.4324583695282567e-5	3.766478342749529	63.591838569381075	SLC36A1;COL18A1;CPA1;COL27A1;CPB1;COL14A1;COL11A1;COL12A1;COL11A2;PRCP;SLC16A10;DPP4;SLC8A3;COL2A1;COL1A2;COL6A2;COL5A3;COL7A1;COL5A2;COL9A1;COL6A3;COL6A5	22
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	43/283	1.6249751661144365e-7	6.215530010387719e-5	2.34119357315141	36.59894995074968	COL18A1;CD151;LAMA2;COL14A1;ITGB4;COL11A1;SERPINE1;COL12A1;COL11A2;TNC;LOXL4;LRP4;FBLN2;COL19A1;LOXL2;ADAMTS14;EFEMP2;ADAMTS1;ADAMTS18;TNR;ADAMTS9;JAM2;COL27A1;ITGA4;BMP7;BMP4;VCAN;COL1A2;COL2A1;BMP1;MMP16;P4HA1;COL5A3;COL6A2;COL7A1;MMP17;COL5A2;COL9A1;COL6A3;ITGA7;ITGA6;COL6A5;FBN1	43
GO_Biological_Process_2018	collagen fibril organization (GO:0030199)	12/30	1.534543160376845e-7	2.6102579158010134e-4	6.163328197226503	96.70177460465385	COL1A2;COL2A1;COL14A1;COL11A1;COL5A3;COL12A1;COL11A2;COL5A2;NF1;LOXL4;TGFBR1;LOXL2	12
Panther_2016	Integrin signalling pathway_Homo sapiens_P00034	26/156	8.223973629891373e-6	3.0702834884927796e-4	2.5680534155110424	30.067943132354095	LAMA2;COL14A1;ITGB4;COL11A1;COL12A1;COL11A2;PIK3C2A;FLNA;MAP2K4;COL27A1;ITGA4;BRAF;ARPC5;COL1A2;COL2A1;PIK3CA;COL5A3;COL6A2;COL5A2;COL9A1;ELMO2;COL6A3;ITGA7;ITGA6;TLN1;DOCK1	26
GO_Biological_Process_2018	neuron projection morphogenesis (GO:0048812)	31/164	6.38745932853673e-8	3.2595204953522934e-4	2.912548385884475	48.25027893096798	GPM6A;CNTNAP2;RAB3A;NRK;DOCK7;LRP4;NYAP2;CELSR2;DOCK10;MAP2;NTF3;SLIT1;SLIT3;SLIT2;EPHB3;ZNF365;MAP1S;LRRN2;DCC;MINK1;DICER1;ANK3;BMP7;PAX2;AFG3L2;LRFN1;TLR9;CTNNB1;KIF20B;SHANK3;SHANK1	31
