datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	32/278	6.608070917847591e-12	7.401039427989302e-10	4.22414362088311	108.74098595798633	WNT2B;SRCAP;PCDH10;PCDH15;WNT8A;ITPR2;ARRB1;PCDH18;CELSR2;PCDHA1;EP400;MYH13;PCDHA4;CTNNA3;CREBBP;WNT10A;SMAD4;PCDHGA5;PCDH9;PCDHGC5;PCDHB12;ARID1A;MYH1;FAT1;CDH12;MYH8;FAT2;CTNNB1;DCHS1;FAT3;TP53;CDH18	32
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	21/150	8.129169826353945e-10	4.552335102758209e-8	5.137614678899083	107.53228981124334	WNT10A;WNT2B;PCDHGA5;PCDH9;PCDH10;PCDHGC5;PCDH15;WNT8A;PCDHB12;CELSR2;PCDH18;PCDHA1;FAT1;CDH12;PCDHA4;FAT2;CTNNB1;DCHS1;FAT3;CTNNA3;CDH18	21
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	15/62	8.01224237487022e-11	1.2258730833551437e-7	8.878366380585973	206.39951483374026	THSD7B;MUC17;NOTCH4;ADAMTS12;MUC5B;ADAMTS20;ADAMTSL1;ADAMTS2;MUC2;ADAMTSL3;MUC12;THSD7A;ADAMTS9;MUC4;ADAMTS7	15
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	16/88	1.7577796274817968e-9	1.3447014150235746e-6	6.672226855713094	134.50685170740167	THSD7B;MUC17;NOTCH4;ADAMTS12;MUC5B;HSPG2;ADAMTS20;ADAMTSL1;ADAMTS2;MUC2;ADAMTSL3;MUC12;THSD7A;ADAMTS9;MUC4;ADAMTS7	16
Reactome_2016	Axon guidance_Homo sapiens_R-HSA-422475	35/515	7.582403759978105e-7	1.6572968218237858e-4	2.493987708203438	35.145936645556084	ROBO2;ROBO3;LAMA1;RASGRF2;ARRB1;CACNA1C;KALRN;ROBO1;CACNA1G;SPTA1;SCN11A;CHL1;MYH11;SPTAN1;SCN1A;TRPC7;EPHA5;ARHGEF11;DUSP2;EPHA7;TRPC6;CNTN6;DCC;SIAH2;UNC5C;KSR2;ANK3;SPTB;SCN10A;COL6A2;NF1;COL6A6;SCN4A;EPHA1;RAF1	35
Reactome_2016	Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	9/37	4.884942349834826e-7	1.8684904488118208e-4	8.926357550210762	129.71727597619622	ADAMTSL1;ADAMTS2;THSD7B;ADAMTSL3;THSD7A;ADAMTS12;ADAMTS9;ADAMTS7;ADAMTS20	9
Reactome_2016	Interaction between L1 and Ankyrins_Homo sapiens_R-HSA-445095	8/29	7.480990987098653e-7	1.9076527017101565e-4	10.12337867763366	142.79765019010233	SPTA1;SCN10A;SCN11A;SCN4A;ANK3;SPTAN1;SPTB;SCN1A	8
Reactome_2016	O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	9/38	6.247462174720124e-7	1.911723425464358e-4	8.691453404152583	124.16541081163321	ADAMTSL1;ADAMTS2;THSD7B;ADAMTSL3;THSD7A;ADAMTS12;ADAMTS9;ADAMTS7;ADAMTS20	9
PPI_Hub_Proteins	PRKACA	32/440	5.253140111608579e-7	2.0224589429693028e-4	2.6688907422852375	38.59021087348335	GRIA1;RYR2;LRP1;CACNA1B;ITPR2;CACNA1C;GLI3;ACACA;GLI2;TTN;RIMS1;SLC9A3R1;AKAP13;BCLAF1;STK11;RACGAP1;FLNA;KCNJ4;SRRM2;GABRA1;CREBBP;HUWE1;ABCC9;ATP2B1;PJA2;ACLY;PDE3A;CTNNB1;NF2;RAF1;TP53;CFTR	32
Reactome_2016	Muscle contraction_Homo sapiens_R-HSA-397014	20/196	4.44312507136459e-7	2.2659937863959406e-4	3.744617112900206	54.771532211926264	KCNJ4;RYR2;CACNA2D1;ITPR2;NEB;ABCC9;ATP2B2;CACNA1C;ATP2B1;RYR3;TTN;SLC8A3;SCN10A;SCN11A;CALD1;MYH8;DMD;MYH11;SCN4A;SCN1A	20
Reactome_2016	O-linked glycosylation_Homo sapiens_R-HSA-5173105	14/110	1.7584891421933922e-6	3.3631104844448627e-4	4.670558798999165	61.889834139552605	THSD7B;MUC17;ADAMTS12;MUC5B;ADAMTS20;ADAMTSL1;ADAMTS2;MUC2;ADAMTSL3;MUC12;THSD7A;ADAMTS9;MUC4;ADAMTS7	14
Transcription_Factor_PPIs	MYC	52/957	1.7881074570831737e-6	5.131868401828709e-4	1.9939988304429936	26.389283972924144	ROBO2;TENM2;ZCCHC11;RIF1;TRRAP;BRCA1;SIPA1L3;MED12;RIMS2;TNR;SPEG;MCF2L2;MAP2K3;ADAMTS20;AJAP1;TUFM;ASPM;OBSCN;MYO3B;NAV3;POLR1A;TCP1;WDFY3;NUP98;RAF1;TP53;KALRN;ACACA;TTN;CACNA1G;CECR2;MAATS1;PDZD2;IRAK1;CALD1;EP400;FLNA;ECT2;PDLIM4;MDN1;ZNF740;RBM10;CREBBP;CDKN2A;AHNAK2;HUWE1;LRP1B;ARCN1;MIB1;CTNNB1;ATM;MAGED2	52
Reactome_2016	Collagen formation_Homo sapiens_R-HSA-1474290	12/85	3.2003090079082733e-6	5.440525313444065e-4	5.180787911494873	65.54869217666152	COL18A1;ADAMTS2;COL3A1;COL1A2;COL14A1;COL25A1;COL6A2;COL22A1;COL12A1;LAMA3;COL6A6;PLEC	12
WikiPathways_2019_Human	Pathways Affected in Adenoid Cystic Carcinoma WP3651	11/65	1.3142397283877452e-6	6.203211517990157e-4	6.21030345800988	84.10149574668522	SETD2;CREBBP;SRCAP;KANSL1;CNTN6;MAGI2;ATM;BRCA1;ARID1A;RAF1;TP53	11
Reactome_2016	Developmental Biology_Homo sapiens_R-HSA-1266738	44/786	5.478280578275102e-6	8.381769284760907e-4	2.054298853794617	24.887253909021545	ROBO2;KMT2D;ROBO3;LAMA1;RASGRF2;ARRB1;CACNA1C;KALRN;ROBO1;CACNA1G;MED12;SPTA1;SCN11A;CHL1;ZIC3;MYH11;SPTAN1;SCN1A;TRPC7;EPHA5;ARHGEF11;NCOA2;CREBBP;DUSP2;EPHA7;SMAD4;TRPC6;CNTN6;DCC;SIAH2;UNC5C;KSR2;ANK3;SPTB;GCK;ACVR2A;SCN10A;COL6A2;NF1;CTNNB1;COL6A6;SCN4A;EPHA1;RAF1	44
Reactome_2016	Collagen biosynthesis and modifying enzymes_Homo sapiens_R-HSA-1650814	10/63	7.2570967050977905e-6	0.0010093961780726927	5.82495995340032	68.92984250466954	COL18A1;ADAMTS2;COL3A1;COL1A2;COL14A1;COL25A1;COL6A2;COL22A1;COL12A1;COL6A6	10
PPI_Hub_Proteins	YWHAB	45/812	5.537472706428092e-6	0.0010659634959874077	2.033714466488905	24.616023673159987	GRIA1;MACF1;RYR2;LRP1;EPB41;CACNA1B;ARRB1;CACNA1C;KALRN;CACNA1E;PTPRF;ACACA;RIMS1;AKAP13;RACGAP1;TNR;MYH11;SBF2;MARK2;SRRM2;GABRA1;EXOC8;NEGR1;CACNA2D1;MINK1;ATP2B2;ANK3;ATP2B1;SLC8A3;PTPRD;TJP1;ACLY;NBEA;FASN;GPRIN1;TCP1;NF1;GNAS;CTNNB1;RADIL;RAF1;FRYL;ASTN1;RAI14;PLEC	45
GO_Biological_Process_2018	action potential (GO:0001508)	11/55	2.2472024409422035e-7	0.0011467474056128064	7.339449541284404	112.35529958118222	SCN10A;SCN11A;CACNA1B;SCN4A;DMD;ANK3;CACNA1C;NALCN;CACNA1E;SCN1A;CACNA1G	11
GO_Biological_Process_2018	membrane depolarization during action potential (GO:0086010)	9/39	7.926984639757193e-7	0.0020225701308340476	8.468595624558928	118.96533184037109	SCN10A;SCN11A;CACNA1B;SCN4A;CACNA1C;CACNA1E;NALCN;CACNA1G;SCN1A	9
Reactome_2016	Cardiac conduction_Homo sapiens_R-HSA-5576891	14/135	1.9599399142997974e-5	0.0024989233907322414	3.805640502888209	41.253187380045055	KCNJ4;RYR2;CACNA2D1;ITPR2;ABCC9;ATP2B2;CACNA1C;ATP2B1;RYR3;SLC8A3;SCN10A;SCN11A;SCN4A;SCN1A	14
Reactome_2016	NRAGE signals death through JNK_Homo sapiens_R-HSA-193648	8/45	2.560286535180175e-5	0.003013260306788975	6.523955147808359	68.97651398939826	ARHGEF11;AKAP13;OBSCN;RASGRF2;MCF2;ARHGEF17;ECT2;KALRN	8
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	21/283	3.5363091066548806e-5	0.003864680666558548	2.7231173209712454	27.911522034100756	FBN2;COL18A1;COL14A1;COL25A1;LAMA1;COL22A1;NRXN1;COL12A1;LAMA3;LRP4;HSPG2;COL3A1;ADAMTS2;COL1A2;COL6A2;TNR;DMD;COL6A6;ADAMTS9;FBN1;PLEC	21
GO_Biological_Process_2018	membrane depolarization (GO:0051899)	9/44	2.3490483362260357e-6	0.003995731219920487	7.506255212677232	97.29232900435743	SCN10A;SCN11A;CACNA1B;SCN4A;CACNA1C;CACNA1E;NALCN;CACNA1G;SCN1A	9
KEA_2015	TAOK1	3/3	2.012547671284079e-5	0.004306852016547929	36.69724770642202	396.8265705447934	MAP2K3;MARK2;MARK1	3
KEA_2015	PRKACA	27/393	1.1546609742754803e-5	0.004941948969899056	2.521184956929757	28.66365102196305	GRIA1;RYR2;LRP1;ITPR2;PPP1R3A;CACNA1C;GLI3;ACACA;TTN;AKAP12;RIMS1;SLC9A3R1;AKAP13;STK11;FLNA;PDLIM4;KCNJ4;ABCC9;ATP2B1;PJA2;ACLY;PDE3A;CTNNB1;NF2;RAF1;TP53;CFTR	27
LINCS_L1000_Kinase_Perturbations_up	PIK3CA_knockdown_96h_HEPG2	24/300	2.7602478882870463e-6	0.005029171652458998	2.9357798165137616	37.578539648210054	EPHA5;KCNJ4;MTMR3;LRP1;DCC;GPR98;LRRK1;CEP164;MTUS2;SNX13;DNAH9;CACNA1C;ADAMTS12;KALRN;SIPA1L3;GLI3;RIMS2;CYSLTR1;SIX5;PRX;TNR;CCDC33;CFTR;MARK2	24
