datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	43/283	1.3918246691830818e-12	2.1294917438501152e-9	3.4298750089735104	93.6369786210173	FBN2;COL18A1;FBN3;PRSS1;COL15A1;PTPRS;LAMA2;COL14A1;ITGB4;TNC;LRP4;LTBP2;COL19A1;MMP20;ADAMTS16;ACAN;ADAMTS3;CAPN6;CAPNS2;TNN;CTSG;DMD;ADAMTS9;FGA;COL25A1;FN1;HSPG2;MMP9;COL1A1;CEACAM1;CAPN11;COL1A2;COL5A1;COL6A2;MMP17;COL6A1;COL9A1;COL20A1;COL4A5;COL6A3;ITGA6;COL6A5;AGRN	43
PPI_Hub_Proteins	RPS6KA3	49/375	1.1455295564259944e-11	4.4102887922400786e-9	2.949586155003762	74.30765272592264	RYR1;RYR2;GABRB1;TRRAP;PRDM2;GRIK2;GPHN;RIMS2;STK11;PCLO;JPH3;DLGAP4;MAGI1;PBRM1;MAP1S;COBL;SRCIN1;LATS1;INCENP;MAP1B;MAPT;TP53;CFTR;SHANK1;SPTBN4;PRKAA1;ABCB1;AHNAK;CACNA1C;SSFA2;BCLAF1;AANAT;ATXN1;TERT;MAP2;FLNA;RICTOR;SASH1;MLL2;CREBBP;SEC24B;SMAD3;BRAF;SORBS1;PTPN12;DCLK1;WT1;PAH;FGFR1	49
KEA_2015	PRKACA	49/393	6.221463936226227e-11	2.6627865647048252e-8	2.8144906059196204	66.1417416776292	RB1;RYR1;RYR2;GABRB1;CIITA;PTPRR;ITGB4;LRRK2;PKD1;GLI3;AKAP12;AKAP13;STK11;ABCC9;GJD2;MIP;ITPKA;MAPT;TP53;CFTR;GRIA1;PRKAA1;ABCB1;AHNAK;ITPR3;CSF2RB;CACNA1C;CYP3A4;CACNA1H;TTN;HRH1;ATXN1;AANAT;CUX1;MAP2;SI;TPR;ERBB2;FLNA;KCNJ12;BRAF;PTPN12;ATP2B1;APC;WT1;PAH;PPP1R1B;PDE3A;CTNNB1	49
Reactome_2016	Collagen formation_Homo sapiens_R-HSA-1474290	20/85	6.279028312898027e-10	3.2023044395779936e-7	5.311379630859116	112.54088800253557	COL18A1;COL15A1;COL14A1;ITGB4;COL25A1;MMP9;COL19A1;MMP20;COL1A1;ADAMTS3;COL1A2;COL5A1;COL6A2;COL6A1;COL9A1;COL20A1;COL4A5;COL6A3;ITGA6;COL6A5	20
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	17/62	9.457538056095364e-10	3.617508306456477e-7	6.1894706182188886	128.6112503039357	THSD7B;MUC16;MUC17;NOTCH4;MUC19;ADAMTS12;ADAMTS20;ADAMTSL1;ADAMTS16;ADAMTS15;ADAMTS3;MUC2;ADAMTS19;THSD7A;ADAMTS9;MUC4;MUC6	17
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	20/88	1.2122232978541485e-9	3.7094032914336947e-7	5.130309870716191	105.3294157968174	THSD7B;MUC16;MUC17;NOTCH4;MUC19;ADAMTS12;HSPG2;ADAMTS20;ADAMTSL1;ADAMTS16;ADAMTS15;ACAN;ADAMTS3;MUC2;ADAMTS19;THSD7A;AGRN;ADAMTS9;MUC4;MUC6	20
Reactome_2016	Axon guidance_Homo sapiens_R-HSA-422475	56/515	5.466758098266414e-10	4.182069945173807e-7	2.454579324552368	52.349218649676125	ROBO2;ROBO3;ROBO1;FGF5;SPRED1;ALCAM;CHL1;PSMD2;RPS6KA2;PLXNC1;SCN5A;NEO1;SPTAN1;JAK1;ARHGEF11;EPHA4;FGA;EPHA7;VWF;DCC;UNC5C;NRG1;UNC5D;MMP9;TIAM1;SCN10A;COL6A2;COL6A1;COL4A5;COL6A3;COL6A5;SPTBN4;SPTBN5;ROCK1;CRMP1;CSF2RB;CACNA1C;CACNA1H;CACNA1G;SPTA1;EFNB2;ERBB2;SCN7A;SRGAP3;PLXNA4;CLASP1;CNTN6;FN1;BRAF;L1CAM;KIF4B;FES;PLXNB3;COL9A1;AGRN;FGFR1	56
KEA_2015	RPS6KA3	41/332	3.065875261993578e-9	6.560973060666256e-7	2.787674399630123	54.64659376144536	RYR1;SPTBN4;RYR2;GABRB1;PRKAA1;ABCB1;AHNAK;TRRAP;PRDM2;CACNA1C;GPHN;SSFA2;RIMS2;BCLAF1;STK11;PCLO;JPH3;AANAT;ATXN1;TERT;MAP2;FLNA;SASH1;DLGAP4;SEC24B;SMAD3;MAP1S;TINF2;COBL;BRAF;SORBS1;PTPN12;DCLK1;LATS1;INCENP;WT1;MAP1B;PAH;MAPT;TP53;CFTR	41
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	25/150	1.0360135585499289e-8	1.1603351855759203e-6	3.762227238525207	69.16967837771749	PCDHGB7;PCDH12;PCDH18;CELSR3;CDH8;WNT11;PCDHA1;ERBB2;CDH23;PCDHA4;PCDHA6;PCDH9;PCDHGA2;PCDHB14;PCDHB13;PCDHB12;CDH11;CDHR2;PCDHB6;CDH12;CTNNB1;DCHS1;FAT3;CDH18;PCDHB7	25
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	35/278	2.6769929950192535e-8	1.499116077210782e-6	2.8419702161521347	49.552554595473445	PCDHGB7;LRP5;ITPR3;PCDH12;PCDH18;CELSR3;CDH8;WNT11;PCDHA1;CDH23;PCDHA4;PCDHA6;CSNK1G3;CREBBP;PCDH9;PCDHGA2;EN1;PCDHB14;PCDHB13;INO80;PCDHB12;MYH1;APC;CDH11;CDHR2;PCDHB6;CDH12;SAG;CTNNB1;DCHS1;FAT3;MYH4;TP53;CDH18;PCDHB7	35
