datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	32/278	3.8674038112690467e-13	4.331492268621332e-11	4.698282190574071	134.28171030064354	PCDHGB7;SRCAP;PCDH15;ITPR2;ITPR3;PCDH18;CELSR2;CDH8;PCDHA1;EP400;CDH23;PCDHA4;PCDHA3;CTNNA2;SMAD4;PCDHGA6;PCDHGA2;PCDHGA1;INO80;ARID1A;PCDHA10;MYH2;APC;CDH10;CDH11;PCDHB6;FAT1;CDH12;MYH8;PCDHB3;TP53;MYH7	32
Reactome_2016	Interaction between L1 and Ankyrins_Homo sapiens_R-HSA-445095	13/29	4.644404481292114e-14	7.105938856376933e-11	18.296973961998592	561.7267640752335	SPTBN5;ANK2;ANK3;SPTB;SPTA1;NFASC;SCN10A;SCN11A;SCN9A;KCNQ3;SCN7A;SPTBN1;SCN1A	13
Reactome_2016	Diseases of glycosylation_Homo sapiens_R-HSA-3781865	19/88	3.278706790961142e-13	2.5082106950852736e-10	8.812615955473099	253.32884302926	SEMA5A;NOTCH2;THSD7B;MUC16;ADAMTS12;ADAMTS20;ADAMTSL1;ADAMTS15;ACAN;ADAMTS2;VCAN;ADAMTS14;MUC2;ADAMTS19;ADAMTSL3;ADAMTS18;CSPG4;ADAMTS9;MUC4	19
Reactome_2016	Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	16/62	1.2812921808071806e-12	6.534590122116621e-10	10.53324555628703	288.4334644472444	SEMA5A;NOTCH2;THSD7B;MUC16;ADAMTS12;ADAMTS20;ADAMTSL1;ADAMTS15;ADAMTS2;ADAMTS14;MUC2;ADAMTS19;ADAMTSL3;ADAMTS18;ADAMTS9;MUC4	16
Transcription_Factor_PPIs	MYC	62/957	2.499093210196307e-12	7.172397513263401e-10	2.644317915253876	70.64319946593045	RB1;ROBO2;TENM2;ZCCHC11;MAST4;TRRAP;CTNND1;DOCK7;KNDC1;SIPA1L3;SACS;TNR;SPEG;FBXW7;NAV2;ADAMTS20;LATS1;ASPM;TIAM1;OBSCN;MYO3B;XRN1;NAV3;FANCD2;WDFY3;KIF20B;TP53;AHNAK;DNAH8;MYCBP2;NRXN3;AKAP6;KALRN;MED12L;ACACA;CACNA1G;TUBA3C;PDZD2;EP400;FLNA;SLIT2;GPR158;RBM10;EXPH5;BPTF;NTRK1;DYNC1H1;SMAD3;CNTN5;TIE1;FN1;HUWE1;MYO5A;MYO9A;MTOR;DCLK1;LRP1B;APC;CROCC;MYO5C;ATM;EPPK1	62
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	22/150	1.655273824600241e-11	9.26953341776135e-10	5.986394557823129	148.6090695637916	PCDHGB7;PCDHGA6;CTNND2;PCDHGA2;CTNND1;PCDHGA1;PCDH15;CELSR2;PCDH18;CDH8;PCDHA10;PCDHA1;CDH10;CDH11;CDH23;PCDHB6;FAT1;CDH12;PCDHA4;PCDHA3;PCDHB3;CTNNA2	22
PPI_Hub_Proteins	YWHAB	55/812	8.851283249004552e-12	3.4077440508667526e-9	2.7646526590931937	70.36167823033558	CTNND2;CTNND1;DOCK7;LYST;SLC8A1;GRM1;KIAA1549;PCLO;TNR;SBF2;SRRM2;CACNA2D1;ANK2;ANK3;SRCIN1;VCAN;KEL;PIK3CA;LRRC7;MAP1B;AMPH;ASTN2;KIF20B;ASTN1;PLEC;LRP1;MYCBP2;CACNA1B;NRXN3;KALRN;CACNA1E;ACACA;GRIN2A;DPP6;MAP2;MYH11;CTNNA2;GPR158;SPTBN1;MARK2;GABRA1;DYNC1H1;SLC4A10;MYO5A;BRAF;ATP2B1;EEF2;DCLK1;SLC8A3;PTPRD;NFASC;PDE10A;LRFN1;CNTN1;GNAS	55
PPI_Hub_Proteins	PRKACA	38/440	1.8295086838006414e-11	3.521804216316235e-9	3.525046382189239	87.15461648378198	RB1;RET;RYR1;LRP1;CACNA1B;HTT;ITPR2;PPP1R9A;PKD1;GLI3;ACACA;CACNA1H;GLI2;GRIN2A;CUX1;MAP2;SI;FLNA;NOS1;SPTBN1;SRRM2;GABRA1;NOS3;HUWE1;PDE4DIP;BRAF;ANK2;ABCC9;ATP2B1;PTPN13;PDE10A;APC;MAP1B;AKAP9;PDE3A;PRKD1;TP53;CFTR	38
Reactome_2016	Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	12/37	4.3452022856553176e-11	1.662039874263159e-8	13.237727523441809	315.84375566692216	SEMA5A;ADAMTSL1;ADAMTS15;ADAMTS14;ADAMTS2;THSD7B;ADAMTS19;ADAMTS18;ADAMTSL3;ADAMTS12;ADAMTS9;ADAMTS20	12
Reactome_2016	O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	12/38	6.210865737830246e-11	1.9005249157760552e-8	12.889366272824919	302.92763557156434	SEMA5A;ADAMTSL1;ADAMTS15;ADAMTS14;ADAMTS2;THSD7B;ADAMTS19;ADAMTS18;ADAMTSL3;ADAMTS12;ADAMTS9;ADAMTS20	12
