datasource	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes	n_genes
Panther_2016	Wnt signaling pathway_Homo sapiens_P00057	4/278	1.1163389573022585e-5	0.0012502996321785294	26.160889470241987	298.30924583244024	SMAD4;FAT3;ARID1A;CDH8	4
BioCarta_2016	Cell Cycle: G1/S Check Point _Homo sapiens_h_g1Pathway	2/26	8.873438171949139e-5	0.01051502423375973	139.86013986013987	1304.8759616392456	SMAD4;CDKN2A	2
PPI_Hub_Proteins	MAPK8	4/352	2.822873899533716e-5	0.010868064513204807	20.661157024793386	216.42913193499587	MAP2K4;SMAD4;CDKN2A;ARID1A	4
BioCarta_2016	CTCF: First Multivalent Nuclear Factor_Homo sapiens_h_ctcfPathway	2/23	6.9138361411835e-5	0.016385791654604895	158.10276679841897	1514.5297744379634	SMAD4;CDKN2A	2
KEGG_2019_Human	Hepatocellular carcinoma	3/168	9.141880680895334e-5	0.02815699249715763	32.467532467532465	301.9499784706664	SMAD4;CDKN2A;ARID1A	3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	3/219	2.002595241484436e-4	0.030839966718860315	24.906600249066	212.10202769255793	MAP2K4;SMAD4;CDKN2A	3
KEGG_2019_Human	Chronic myeloid leukemia	2/76	7.66557415655506e-4	0.059024921005473956	47.846889952153106	343.2344955114031	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Tumor suppressor activity of SMARCB1 WP4204	2/31	1.2676847134630674e-4	0.05983471847545678	117.30205278592375	1052.5687032924095	CDKN2A;ARID1A	2
KEGG_2019_Human	Pancreatic cancer	2/75	7.466087214173855e-4	0.07665182873218492	48.484848484848484	349.0894210928152	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Photodynamic therapy-induced AP-1 survival signaling. WP3611	2/50	3.32063883264561e-4	0.07836707645043639	72.72727272727272	582.5587773153795	MAP2K4;CDKN2A	2
WikiPathways_2019_Human	Pancreatic adenocarcinoma pathway WP4263	2/89	0.001049178217319043	0.09904242371491766	40.85801838610827	280.2757128259688	SMAD4;CDKN2A	2
WikiPathways_2019_Human	DNA Damage Response (only ATM dependent) WP710	2/110	0.00159610050932021	0.107622777199877	33.05785123966942	212.89890268340056	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Apoptosis WP254	2/84	9.353738713083483e-4	0.1103741168143851	43.290043290043286	301.9291881488037	MAP2K4;CDKN2A	2
WikiPathways_2019_Human	Cell Cycle WP179	2/120	0.0018952501590271003	0.11181975938259892	30.3030303030303	189.95164967029152	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Senescence and Autophagy in Cancer WP615	2/105	0.0014558446451528107	0.11452644541868778	34.63203463203463	226.22230423058534	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Ectoderm Differentiation WP2858	2/138	0.002495703599748119	0.11779720990811123	26.350461133069828	157.92317748688328	SMAD4;CDH8	2
WikiPathways_2019_Human	TGF-beta Signaling Pathway WP366	2/132	0.002286758225307723	0.11992776470502725	27.548209366391184	167.51019522016543	MAP2K4;SMAD4	2
KEGG_2019_Human	Cell cycle	2/124	0.0020218271883785093	0.12454455480411616	29.325513196480937	181.92825887754935	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Integrated Breast Cancer Pathway WP1984	2/151	0.002978296357627942	0.1277959891636717	24.08187838651415	140.06992977758472	SMAD4;MYCBP2	2
WikiPathways_2019_Human	Epithelial to mesenchymal transition in colorectal cancer WP4239	2/159	0.003295426703038	0.12962011698616133	22.870211549456833	130.70828174382643	MAP2K4;SMAD4	2
Transcription_Factor_PPIs	CTCF	2/60	4.7836212312948043e-4	0.1372899293381609	60.6060606060606	463.3419716680445	SMAD4;CDKN2A	2
WikiPathways_2019_Human	Signaling Pathways in Glioblastoma WP2261	2/82	8.916352467573733e-4	0.14028394548982673	44.34589800443459	311.4170033350144	MAP2K4;CDKN2A	2
Panther_2016	Cadherin signaling pathway_Homo sapiens_P00012	2/150	0.002939730465739655	0.16462490608142066	24.242424242424242	141.31969406434197	FAT3;CDH8	2
KEGG_2019_Human	Hepatitis B	2/163	0.0034597039044708977	0.17759813376283942	22.308979364194087	126.41544384421455	MAP2K4;SMAD4	2
