datasource	term	adj_p_value	odds_ratio	genes
BioCarta_2016	Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	0.025479343406913487	15.929908403026683	NCOA2;MED1;NCOR1;ARID1A
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	1.652845942335209e-4	6.573695825703151	DDR1;ITGA4;COL14A1;NCAN;COL11A1;FN1;LAMC1;NID1;HAPLN1;ACAN;VCAN;COL3A1;COL5A2;COL8A2
GO_Biological_Process_2018	negative regulation of response to stimulus (GO:0048585)	7.912319920207001e-4	8.466683600033868	EPHB6;EPHA5;DDR1;NTRK2;COL3A1;EPHA6;NCOR1;EPHA8;NOD2;EPHA2
GO_Biological_Process_2018	protein complex subunit organization (GO:0071822)	0.0061166259479574275	14.336917562724015	NUP205;COL3A1;COL14A1;COL11A1;TPR;COL5A2
GO_Biological_Process_2018	negative regulation of cell communication (GO:0010648)	0.010377477306474193	9.64984835952578	DDR1;EPHB6;EPHA5;NTRK2;EPHA6;EPHA8;EPHA2
GO_Biological_Process_2018	positive regulation of kinase activity (GO:0033674)	0.010935944141296814	7.612522599676469	EPHB6;EPHA5;DDR1;NTRK2;CENPE;EPHA6;EPHA8;EPHA2
GO_Biological_Process_2018	negative regulation of signaling (GO:0023057)	0.010456028336397243	9.068532193289286	DDR1;EPHB6;EPHA5;NTRK2;EPHA6;EPHA8;EPHA2
GO_Biological_Process_2018	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	0.014129788519828674	5.349596105494036	EPHB6;EPHA5;DDR1;NTRK2;EPHA6;NOTCH1;CALCR;EPHA8;NOD2;EPHA2
GO_Biological_Process_2018	regulation of ERK1 and ERK2 cascade (GO:0070372)	0.013318563839853706	4.788646554351138	EPHB6;EPHA5;DDR1;NTRK2;EPHA6;NOTCH1;CALCR;EPHA8;FN1;NOD2;EPHA2
GO_Biological_Process_2018	positive regulation of signal transduction (GO:0009967)	0.013576678347646495	5.219751539826705	UNC13B;JAG2;ASXL1;RIMS1;NOTCH1;CNTN1;BMP2K;FLNA;PHIP;NOD2
GO_Biological_Process_2018	positive regulation of intracellular signal transduction (GO:1902533)	0.02245083406160967	3.367230116506162	EPHB6;EPHA5;DDR1;NTRK2;EPHA6;HIP1;EPHA8;HGF;PTPRJ;NOD2;CALCR;CNTN1;FLNA;MAP3K7;EPHA2
GO_Biological_Process_2018	regulation of kinase activity (GO:0043549)	0.02052984807085342	7.452358139039712	EPHB6;EPHA5;DDR1;NTRK2;EPHA6;EPHA8;EPHA2
