datasource	term	adj_p_value	odds_ratio	genes
BioCarta_2016	ATM Signaling Pathway Homo sapiens h atmPathway	6.270208610508179e-5	70.54673721340387	JUN;MAPK8;ATM;TP53
BioCarta_2016	Cell Cycle: G1/S Check Point  Homo sapiens h g1Pathway	1.503067337375043e-4	48.840048840048844	SMAD4;CDKN2A;ATM;TP53
BioCarta_2016	Agrin in Postsynaptic Differentiation Homo sapiens h agrPathway	0.0011377702040266929	27.01789935832489	MAPK8;JUN;LAMA1;DMD
BioCarta_2016	Hypoxia and p53 in the Cardiovascular system Homo sapiens h p53hypoxiaPathway	0.0022540350198625822	45.35147392290249	MAPK8;ATM;TP53
BioCarta_2016	Inhibition of Cellular Proliferation by Gleevec Homo sapiens h gleevecpathway	0.00208326189505587	43.290043290043286	MAP2K4;JUN;MAPK8
BioCarta_2016	Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility Homo sapiens h atrbrcaPathway	0.001736051579213225	43.290043290043286	ATM;BRCA2;TP53
BioCarta_2016	CTCF: First Multivalent Nuclear Factor Homo sapiens h ctcfPathway	0.0017074102832945986	41.40786749482402	SMAD4;CDKN2A;TGFBR2
BioCarta_2016	TNF/Stress Related Signaling Homo sapiens h stressPathway	0.0014939839978827738	41.40786749482402	MAP2K4;JUN;MAPK8
BioCarta_2016	Tumor Suppressor Arf Inhibits Ribosomal Biogenesis Homo sapiens h arfPathway	0.0013279857758957988	41.40786749482402	CDKN2A;ATM;TP53
BioCarta_2016	PDGF Signaling Pathway Homo sapiens h pdgfPathway	0.0017428654055952901	36.630036630036635	MAP2K4;MAPK8;JUN
BioCarta_2016	Links between Pyk2 and Map Kinases Homo sapiens h pyk2Pathway	0.0015844230959957183	36.630036630036635	MAP2K4;MAPK8;JUN
BioCarta_2016	The information-processing pathway at the IFN-beta enhancer Homo sapiens h pcafpathway	0.0020274572216452485	32.84072249589491	JUN;ARID1A;SMARCA4
BioCarta_2016	Fc Epsilon Receptor I Signaling in Mast Cells Homo sapiens h fcer1Pathway	0.0018714989738263833	32.84072249589491	MAP2K4;MAPK8;JUN
